context,run_id,attempt,job_id,job,conclusion,setup_seconds,dependencies_seconds,wheel_seconds,tests_seconds,teardown_seconds,unattributed_seconds,wall_seconds,url
PR #502,34543831540,1,103092062814,CI impact plan,success,104,0,0,0,1,3,108,https://github.com/satoshikawato/gbdraw/actions/runs/34543831540/job/103092062814
PR #502,34543831540,1,103092460199,Gallery (Python 3.11),success,28,13,0,209,0,3,253,https://github.com/satoshikawato/gbdraw/actions/runs/34543831540/job/103092460199
PR #502,34543831540,1,103092460225,Web change budget,success,84,0,0,129,1,4,218,https://github.com/satoshikawato/gbdraw/actions/runs/34543831540/job/103092460225
PR #502,34543831540,1,103092460255,Core PR (Python 3.11),success,30,15,0,203,0,5,253,https://github.com/satoshikawato/gbdraw/actions/runs/34543831540/job/103092460255
PR #502,34543831540,1,103092460259,Lint,success,32,1,0,1,0,5,39,https://github.com/satoshikawato/gbdraw/actions/runs/34543831540/job/103092460259
PR #502,34543831540,1,103092460263,Web PR smoke,success,37,40,3,800,1,6,887,https://github.com/satoshikawato/gbdraw/actions/runs/34543831540/job/103092460263
PR #502,34543831540,1,103092460308,Recipes standard (Python 3.11),success,27,14,0,71,0,3,115,https://github.com/satoshikawato/gbdraw/actions/runs/34543831540/job/103092460308
PR #502,34543831540,1,103095680139,PR / gate,success,27,0,0,1,0,4,32,https://github.com/satoshikawato/gbdraw/actions/runs/34543831540/job/103095680139
PR #503,34548658285,1,103106685361,CI impact plan,success,104,0,0,0,1,2,107,https://github.com/satoshikawato/gbdraw/actions/runs/34548658285/job/103106685361
PR #503,34548658285,1,103107062148,Gallery (Python 3.11),success,28,13,0,210,1,2,254,https://github.com/satoshikawato/gbdraw/actions/runs/34548658285/job/103107062148
PR #503,34548658285,1,103107062180,Web change budget,success,78,0,0,136,0,3,217,https://github.com/satoshikawato/gbdraw/actions/runs/34548658285/job/103107062180
PR #503,34548658285,1,103107062192,Recipes standard (Python 3.11),success,29,18,0,89,1,3,140,https://github.com/satoshikawato/gbdraw/actions/runs/34548658285/job/103107062192
PR #503,34548658285,1,103107062211,Web PR smoke,success,34,38,2,724,1,2,801,https://github.com/satoshikawato/gbdraw/actions/runs/34548658285/job/103107062211
PR #503,34548658285,1,103107062229,Lint,success,30,2,0,0,1,3,36,https://github.com/satoshikawato/gbdraw/actions/runs/34548658285/job/103107062229
PR #503,34548658285,1,103107062230,Core PR (Python 3.11),success,30,14,0,203,1,4,252,https://github.com/satoshikawato/gbdraw/actions/runs/34548658285/job/103107062230
PR #503,34548658285,1,103109914715,PR / gate,success,27,0,0,0,1,3,31,https://github.com/satoshikawato/gbdraw/actions/runs/34548658285/job/103109914715
PR #503,34547226783,1,103102560676,CI impact plan,success,104,0,0,1,1,4,110,https://github.com/satoshikawato/gbdraw/actions/runs/34547226783/job/103102560676
PR #503,34547226783,1,103102959387,Core PR (Python 3.11),success,30,13,0,202,1,4,250,https://github.com/satoshikawato/gbdraw/actions/runs/34547226783/job/103102959387
PR #503,34547226783,1,103102959415,Web change budget,success,72,0,0,137,0,2,211,https://github.com/satoshikawato/gbdraw/actions/runs/34547226783/job/103102959415
PR #503,34547226783,1,103102959499,Gallery (Python 3.11),success,31,15,0,207,0,4,257,https://github.com/satoshikawato/gbdraw/actions/runs/34547226783/job/103102959499
PR #503,34547226783,1,103102959514,Recipes standard (Python 3.11),success,36,21,0,89,0,3,149,https://github.com/satoshikawato/gbdraw/actions/runs/34547226783/job/103102959514
PR #503,34547226783,1,103102959636,Lint,success,30,3,0,0,0,3,36,https://github.com/satoshikawato/gbdraw/actions/runs/34547226783/job/103102959636
PR #503,34547226783,1,103102959643,Web PR smoke,cancelled,42,43,3,814,0,6,908,https://github.com/satoshikawato/gbdraw/actions/runs/34547226783/job/103102959643
PR #503,34547226783,1,103106162123,PR / gate,failure,34,0,0,2,0,3,39,https://github.com/satoshikawato/gbdraw/actions/runs/34547226783/job/103106162123
PR #503,34545278484,1,103096433241,CI impact plan,success,101,0,0,1,0,4,106,https://github.com/satoshikawato/gbdraw/actions/runs/34545278484/job/103096433241
PR #503,34545278484,1,103097229270,Core PR (Python 3.11),success,29,16,0,204,0,5,254,https://github.com/satoshikawato/gbdraw/actions/runs/34545278484/job/103097229270
PR #503,34545278484,1,103097229277,Gallery (Python 3.11),success,30,14,0,210,0,5,259,https://github.com/satoshikawato/gbdraw/actions/runs/34545278484/job/103097229277
PR #503,34545278484,1,103097229281,Web PR smoke,cancelled,36,40,3,830,0,3,912,https://github.com/satoshikawato/gbdraw/actions/runs/34545278484/job/103097229281
PR #503,34545278484,1,103097229287,Recipes standard (Python 3.11),success,35,18,0,79,0,4,136,https://github.com/satoshikawato/gbdraw/actions/runs/34545278484/job/103097229287
PR #503,34545278484,1,103097229303,Lint,success,30,1,0,1,0,3,35,https://github.com/satoshikawato/gbdraw/actions/runs/34545278484/job/103097229303
PR #503,34545278484,1,103097229322,Web change budget,success,75,0,0,130,0,2,207,https://github.com/satoshikawato/gbdraw/actions/runs/34545278484/job/103097229322
PR #503,34545278484,1,103100553328,PR / gate,failure,26,0,0,1,0,3,30,https://github.com/satoshikawato/gbdraw/actions/runs/34545278484/job/103100553328
PR #503,34545278484,2,103101026774,Web PR smoke,cancelled,39,42,2,300,1,3,387,https://github.com/satoshikawato/gbdraw/actions/runs/34545278484/job/103101026774
PR #503,34545278484,2,103101026935,CI impact plan,success,101,0,0,1,0,4,106,https://github.com/satoshikawato/gbdraw/actions/runs/34545278484/job/103101026935
PR #503,34545278484,2,103101027557,Recipes standard (Python 3.11),success,35,18,0,79,0,4,136,https://github.com/satoshikawato/gbdraw/actions/runs/34545278484/job/103101027557
PR #503,34545278484,2,103101027772,Web change budget,success,75,0,0,130,0,2,207,https://github.com/satoshikawato/gbdraw/actions/runs/34545278484/job/103101027772
PR #503,34545278484,2,103101027894,Lint,success,30,1,0,1,0,3,35,https://github.com/satoshikawato/gbdraw/actions/runs/34545278484/job/103101027894
PR #503,34545278484,2,103101027968,Gallery (Python 3.11),success,30,14,0,210,0,5,259,https://github.com/satoshikawato/gbdraw/actions/runs/34545278484/job/103101027968
PR #503,34545278484,2,103101059963,Core PR (Python 3.11),success,29,16,0,204,0,5,254,https://github.com/satoshikawato/gbdraw/actions/runs/34545278484/job/103101059963
PR #503,34545278484,2,103102435056,PR / gate,failure,27,0,0,3,0,2,32,https://github.com/satoshikawato/gbdraw/actions/runs/34545278484/job/103102435056
PR #504,34550113922,1,103111045618,CI impact plan,success,98,0,0,1,1,2,102,https://github.com/satoshikawato/gbdraw/actions/runs/34550113922/job/103111045618
PR #504,34550113922,1,103111709502,Gallery (Python 3.11),success,22,14,0,212,1,3,252,https://github.com/satoshikawato/gbdraw/actions/runs/34550113922/job/103111709502
PR #504,34550113922,1,103111709556,Web change budget,success,73,0,0,131,1,2,207,https://github.com/satoshikawato/gbdraw/actions/runs/34550113922/job/103111709556
