    PID COMMAND         %CPU %MEM
 176830 rustc            112  0.4
 175109 rustc            107  1.2
 172554 node-MainThread  107  0.4
 175280 rustc            107  1.1
 176805 rustc            106  0.4
 176683 rustc            107  0.5
 176055 rustc            104  1.1
 176368 rustc            104  0.8
 176319 rustc            104  0.9
 176588 rustc            103  0.6
 176155 rustc            103  1.0
 176634 rustc            103  0.6
 176762 rustc            103  0.5
 176672 rustc            102  0.5
 176655 rustc            102  0.5
 176717 rustc            102  0.5
 176606 rustc            102  0.7
 176854 bash            50.0  0.0
 173059 cargo            4.2  0.1
