    PID COMMAND         %CPU %MEM
 159068 node-MainThread  106  0.4
    989 MainThread       2.4  1.6
   1002 MainThread       2.4  2.0
   1059 codex            1.2  1.9
   1060 codex            1.0  1.8
    976 MainThread       0.7  0.7
    702 MainThread       0.1  0.5
 157974 python3          0.1  0.0
    968 MainThread       0.0  0.2
    946 MainThread       0.0  0.2
    919 MainThread       0.0  0.2
    953 MainThread       0.0  0.4
    127 snapfuse         0.0  0.0
    967 Relay(968)       0.0  0.0
    945 Relay(946)       0.0  0.0
   1028 MainThread       0.0  0.9
   3616 codex-code-mode  0.0  0.0
   5517 codex-code-mode  0.0  0.0
    270 containerd       0.0  0.1
