    PID    PPID %CPU ELAPSED COMMAND
 377556  342649  107     271 tblastx
 379401  379378 73.1      85 python
 372396    1002 11.2    1014 git
 373838  316033  3.9     780 python3
   1002     702  1.8   22979 MainThread
   1060    1002  0.5   22978 codex
 377719      93  0.1     257 (udev-worker)
 379986    1060  0.0      23 python
    702     698  0.0   22981 MainThread
 341222    1002  0.0    4925 agy
    946     945  0.0   22980 MainThread
    953     702  0.0   22980 MainThread
    919     702  0.0   22980 MainThread
 379378  379377  0.0      86 python
    945     943  0.0   22980 Relay(946)
    270       1  0.0   22983 containerd
    875     874  0.0   22980 MainThread
 377720      93  0.0     257 (udev-worker)
 379371    1060  0.0      86 codex-linux-san
   3616    1060  0.0   22938 codex-code-mode
    329       1  0.0   22983 dockerd
    127       1  0.0   22985 snapfuse
    248       1  0.0   22983 snapd
 360539     702  0.0    3514 MainThread
   1028     953  0.0   22978 MainThread
     51       1  0.0   22985 systemd-journal
 372950    1060  0.0     871 node-MainThread
     93       1  0.0   22985 systemd-udevd
   1294    1002  0.0   22977 MainThread
 342649  341549  0.0    4831 run_comparison.
    874     873  0.0   22980 Relay(875)
      1       0  0.0   22989 systemd
    266       1  0.0   22983 rsyslogd
 373918  373838  0.0     778 xdg-open
    242       1  0.0   22983 dbus-daemon
 363295    1060  0.0    2941 node-MainThread
 307658    1060  0.0    7119 node-MainThread
    252       1  0.0   22983 wsl-pro-service
    234       1  0.0   22983 systemd-timesyn
   2818    1060  0.0   22959 node-MainThread
    249       1  0.0   22983 systemd-logind
 316026  316025  0.0    6344 Relay(316033)
    230       1  0.0   22983 systemd-resolve
 341549  341545  0.0    4899 bash
    825       1  0.0   22981 systemd
 316033  316026  0.0    6344 bash
    281       1  0.0   22983 unattended-upgr
    838     670  0.0   22981 bash
    241       1  0.0   22983 cron
      6       2  0.0   22988 init
      2       1  0.0   22989 init-systemd(Ub
    108       1  0.0   22985 snapfuse
    109       1  0.0   22985 snapfuse
    115       1  0.0   22985 snapfuse
    120       1  0.0   22985 snapfuse
    124       1  0.0   22985 snapfuse
    257       1  0.0   22983 agetty
    264       1  0.0   22983 agetty
    670       2  0.0   22981 login
    689       2  0.0   22981 SessionLeader
    690     689  0.0   22981 Relay(691)
    691     690  0.0   22981 sh
    692     691  0.0   22981 sh
    698     692  0.0   22981 sh
    826     825  0.0   22981 (sd-pam)
    873       2  0.0   22980 SessionLeader
    943       2  0.0   22980 SessionLeader
 316025       2  0.0    6344 SessionLeader
 341544       2  0.0    4899 SessionLeader
 341545  341544  0.0    4899 Relay(341549)
 373841     825  0.0     779 dbus-daemon
 379376  379371  0.0      86 bwrap
 379377  379376  0.0      86 codex
 380490  379986  0.0       0 ps
