    PID    PPID %CPU ELAPSED COMMAND
 377556  342649  107     247 tblastx
 379880  379873  106       5 python
 379401  379378 63.0      62 python
 379455  379448 59.1      61 python
 379986    1060 40.0       0 python
 372396    1002 11.3     991 git
 373838  316033  3.7     756 python3
   1002     702  1.8   22956 MainThread
   1060    1002  0.5   22954 codex
 379873    1060  0.3       5 python
 377719      93  0.1     234 (udev-worker)
    702     698  0.0   22957 MainThread
 341222    1002  0.0    4901 agy
    946     945  0.0   22956 MainThread
    953     702  0.0   22956 MainThread
 379448  379447  0.0      61 python
 379378  379377  0.0      62 python
    919     702  0.0   22956 MainThread
    945     943  0.0   22956 Relay(946)
 379441    1060  0.0      61 codex-linux-san
    270       1  0.0   22959 containerd
 379371    1060  0.0      62 codex-linux-san
 377720      93  0.0     234 (udev-worker)
    875     874  0.0   22957 MainThread
   3616    1060  0.0   22914 codex-code-mode
    329       1  0.0   22959 dockerd
    127       1  0.0   22962 snapfuse
 360539     702  0.0    3490 MainThread
    248       1  0.0   22960 snapd
   1028     953  0.0   22955 MainThread
     51       1  0.0   22962 systemd-journal
 372950    1060  0.0     847 node-MainThread
     93       1  0.0   22962 systemd-udevd
 342649  341549  0.0    4807 run_comparison.
   1294    1002  0.0   22953 MainThread
    874     873  0.0   22957 Relay(875)
      1       0  0.0   22965 systemd
    266       1  0.0   22959 rsyslogd
 373918  373838  0.0     755 xdg-open
    242       1  0.0   22960 dbus-daemon
 363295    1060  0.0    2917 node-MainThread
 307658    1060  0.0    7096 node-MainThread
    252       1  0.0   22960 wsl-pro-service
    234       1  0.0   22960 systemd-timesyn
   2818    1060  0.0   22935 node-MainThread
    249       1  0.0   22960 systemd-logind
 316026  316025  0.0    6320 Relay(316033)
    230       1  0.0   22960 systemd-resolve
 341549  341545  0.0    4875 bash
    825       1  0.0   22957 systemd
 316033  316026  0.0    6320 bash
    281       1  0.0   22959 unattended-upgr
    838     670  0.0   22957 bash
    241       1  0.0   22960 cron
      6       2  0.0   22965 init
      2       1  0.0   22965 init-systemd(Ub
    108       1  0.0   22962 snapfuse
    109       1  0.0   22962 snapfuse
    115       1  0.0   22962 snapfuse
    120       1  0.0   22962 snapfuse
    124       1  0.0   22962 snapfuse
    257       1  0.0   22960 agetty
    264       1  0.0   22959 agetty
    670       2  0.0   22957 login
    689       2  0.0   22957 SessionLeader
    690     689  0.0   22957 Relay(691)
    691     690  0.0   22957 sh
    692     691  0.0   22957 sh
    698     692  0.0   22957 sh
    826     825  0.0   22957 (sd-pam)
    873       2  0.0   22957 SessionLeader
    943       2  0.0   22956 SessionLeader
 316025       2  0.0    6320 SessionLeader
 341544       2  0.0    4875 SessionLeader
 341545  341544  0.0    4875 Relay(341549)
 373841     825  0.0     756 dbus-daemon
 379376  379371  0.0      62 bwrap
 379377  379376  0.0      62 codex
 379446  379441  0.0      61 bwrap
 379447  379446  0.0      61 codex
 379992  379986  0.0       0 ps
