    PID    PPID %CPU ELAPSED COMMAND
 377556  342649  107     269 tblastx
 379401  379378 72.2      83 python
 379993  379986 35.1      21 node-MainThread
 372396    1002 11.2    1012 git
 373838  316033  3.9     778 python3
   1002     702  1.8   22977 MainThread
   1060    1002  0.5   22975 codex
 377719      93  0.1     255 (udev-worker)
 379986    1060  0.0      21 python
    702     698  0.0   22979 MainThread
 341222    1002  0.0    4923 agy
 379873    1060  0.0      26 python
    946     945  0.0   22978 MainThread
    953     702  0.0   22978 MainThread
    919     702  0.0   22978 MainThread
 379378  379377  0.0      83 python
    945     943  0.0   22978 Relay(946)
    270       1  0.0   22981 containerd
    875     874  0.0   22978 MainThread
 379371    1060  0.0      83 codex-linux-san
 377720      93  0.0     255 (udev-worker)
   3616    1060  0.0   22936 codex-code-mode
    329       1  0.0   22981 dockerd
    127       1  0.0   22983 snapfuse
    248       1  0.0   22981 snapd
 360539     702  0.0    3512 MainThread
   1028     953  0.0   22976 MainThread
     51       1  0.0   22983 systemd-journal
 372950    1060  0.0     869 node-MainThread
     93       1  0.0   22983 systemd-udevd
   1294    1002  0.0   22974 MainThread
 342649  341549  0.0    4829 run_comparison.
    874     873  0.0   22978 Relay(875)
      1       0  0.0   22987 systemd
    266       1  0.0   22981 rsyslogd
 373918  373838  0.0     776 xdg-open
    242       1  0.0   22981 dbus-daemon
 363295    1060  0.0    2939 node-MainThread
 307658    1060  0.0    7117 node-MainThread
    252       1  0.0   22981 wsl-pro-service
    234       1  0.0   22981 systemd-timesyn
   2818    1060  0.0   22956 node-MainThread
    249       1  0.0   22981 systemd-logind
 316026  316025  0.0    6342 Relay(316033)
    230       1  0.0   22981 systemd-resolve
 341549  341545  0.0    4896 bash
    825       1  0.0   22979 systemd
 316033  316026  0.0    6342 bash
    281       1  0.0   22981 unattended-upgr
    838     670  0.0   22978 bash
    241       1  0.0   22981 cron
      6       2  0.0   22986 init
      2       1  0.0   22987 init-systemd(Ub
    108       1  0.0   22983 snapfuse
    109       1  0.0   22983 snapfuse
    115       1  0.0   22983 snapfuse
    120       1  0.0   22983 snapfuse
    124       1  0.0   22983 snapfuse
    257       1  0.0   22981 agetty
    264       1  0.0   22981 agetty
    670       2  0.0   22979 login
    689       2  0.0   22979 SessionLeader
    690     689  0.0   22979 Relay(691)
    691     690  0.0   22979 sh
    692     691  0.0   22979 sh
    698     692  0.0   22979 sh
    826     825  0.0   22979 (sd-pam)
    873       2  0.0   22978 SessionLeader
    943       2  0.0   22978 SessionLeader
 316025       2  0.0    6342 SessionLeader
 341544       2  0.0    4896 SessionLeader
 341545  341544  0.0    4896 Relay(341549)
 373841     825  0.0     777 dbus-daemon
 379376  379371  0.0      83 bwrap
 379377  379376  0.0      83 codex
 380470  379993  0.0       0 git
 380471  379873  0.0       0 ps
