    PID    PPID %CPU ELAPSED COMMAND
 377556  342649  107     242 tblastx
 379401  379378 59.0      57 python
 379455  379448 56.2      55 python
 379873    1060 50.0       0 python
 372396    1002 11.3     985 git
 373838  316033  3.7     751 python3
   1002     702  1.8   22950 MainThread
   1060    1002  0.5   22949 codex
 377719      93  0.1     229 (udev-worker)
    702     698  0.0   22952 MainThread
 341222    1002  0.0    4896 agy
    946     945  0.0   22951 MainThread
    953     702  0.0   22951 MainThread
 379448  379447  0.0      56 python
 379378  379377  0.0      57 python
    919     702  0.0   22951 MainThread
    945     943  0.0   22951 Relay(946)
 379441    1060  0.0      56 codex-linux-san
 379371    1060  0.0      57 codex-linux-san
    270       1  0.0   22954 containerd
    875     874  0.0   22951 MainThread
   3616    1060  0.0   22909 codex-code-mode
 377720      93  0.0     229 (udev-worker)
    329       1  0.0   22954 dockerd
    127       1  0.0   22956 snapfuse
 360539     702  0.0    3485 MainThread
   1028     953  0.0   22950 MainThread
    248       1  0.0   22954 snapd
     51       1  0.0   22956 systemd-journal
 372950    1060  0.0     842 node-MainThread
     93       1  0.0   22956 systemd-udevd
 342649  341549  0.0    4802 run_comparison.
   1294    1002  0.0   22948 MainThread
    874     873  0.0   22951 Relay(875)
      1       0  0.0   22960 systemd
    266       1  0.0   22954 rsyslogd
 373918  373838  0.0     750 xdg-open
    242       1  0.0   22954 dbus-daemon
 363295    1060  0.0    2912 node-MainThread
 307658    1060  0.0    7091 node-MainThread
    252       1  0.0   22954 wsl-pro-service
    234       1  0.0   22954 systemd-timesyn
   2818    1060  0.0   22930 node-MainThread
    249       1  0.0   22954 systemd-logind
 316026  316025  0.0    6315 Relay(316033)
    230       1  0.0   22954 systemd-resolve
 341549  341545  0.0    4870 bash
    825       1  0.0   22952 systemd
 316033  316026  0.0    6315 bash
    281       1  0.0   22954 unattended-upgr
    838     670  0.0   22952 bash
    241       1  0.0   22954 cron
      6       2  0.0   22959 init
      2       1  0.0   22960 init-systemd(Ub
    108       1  0.0   22956 snapfuse
    109       1  0.0   22956 snapfuse
    115       1  0.0   22956 snapfuse
    120       1  0.0   22956 snapfuse
    124       1  0.0   22956 snapfuse
    257       1  0.0   22954 agetty
    264       1  0.0   22954 agetty
    670       2  0.0   22952 login
    689       2  0.0   22952 SessionLeader
    690     689  0.0   22952 Relay(691)
    691     690  0.0   22952 sh
    692     691  0.0   22952 sh
    698     692  0.0   22952 sh
    826     825  0.0   22952 (sd-pam)
    873       2  0.0   22951 SessionLeader
    943       2  0.0   22951 SessionLeader
 316025       2  0.0    6315 SessionLeader
 341544       2  0.0    4870 SessionLeader
 341545  341544  0.0    4870 Relay(341549)
 373841     825  0.0     751 dbus-daemon
 379376  379371  0.0      57 bwrap
 379377  379376  0.0      57 codex
 379446  379441  0.0      56 bwrap
 379447  379446  0.0      56 codex
 379879  379873  0.0       0 ps
