    PID    PPID %CPU ELAPSED COMMAND
 383616    1002 14.4     464 git
   1002     702  1.8   23803 MainThread
   1060    1002  0.5   23801 codex
    702     698  0.0   23804 MainThread
 341222    1002  0.0    5748 agy
    946     945  0.0   23803 MainThread
    953     702  0.0   23803 MainThread
    919     702  0.0   23803 MainThread
 385545    1060  0.0      88 python
    945     943  0.0   23803 Relay(946)
    270       1  0.0   23806 containerd
    875     874  0.0   23804 MainThread
   3616    1060  0.0   23761 codex-code-mode
    248       1  0.0   23807 snapd
    329       1  0.0   23806 dockerd
    127       1  0.0   23809 snapfuse
   1028     953  0.0   23802 MainThread
 360539     702  0.0    4337 MainThread
     51       1  0.0   23809 systemd-journal
     93       1  0.0   23809 systemd-udevd
   1294    1002  0.0   23800 MainThread
    874     873  0.0   23804 Relay(875)
      1       0  0.0   23812 systemd
    266       1  0.0   23806 rsyslogd
 372950    1060  0.0    1694 node-MainThread
    242       1  0.0   23807 dbus-daemon
 363295    1060  0.0    3764 node-MainThread
    252       1  0.0   23807 wsl-pro-service
    234       1  0.0   23807 systemd-timesyn
 307658    1060  0.0    7943 node-MainThread
   2818    1060  0.0   23782 node-MainThread
    249       1  0.0   23807 systemd-logind
    230       1  0.0   23807 systemd-resolve
    825       1  0.0   23804 systemd
    281       1  0.0   23806 unattended-upgr
    838     670  0.0   23804 bash
    241       1  0.0   23807 cron
      6       2  0.0   23812 init
      2       1  0.0   23812 init-systemd(Ub
    108       1  0.0   23809 snapfuse
    109       1  0.0   23809 snapfuse
    115       1  0.0   23809 snapfuse
    120       1  0.0   23809 snapfuse
    124       1  0.0   23809 snapfuse
    257       1  0.0   23806 agetty
    264       1  0.0   23806 agetty
    670       2  0.0   23804 login
    689       2  0.0   23804 SessionLeader
    690     689  0.0   23804 Relay(691)
    691     690  0.0   23804 sh
    692     691  0.0   23804 sh
    698     692  0.0   23804 sh
    826     825  0.0   23804 (sd-pam)
    873       2  0.0   23804 SessionLeader
    943       2  0.0   23803 SessionLeader
 373841     825  0.0    1603 dbus-daemon
 387020      93  0.0       3 (udev-worker)
 387021      93  0.0       3 (udev-worker)
 387028  385545  0.0       0 ps
