    PID    PPID %CPU ELAPSED COMMAND
 385545    1060 16.6       0 python
 383616    1002 14.1     375 git
 373838  316033  4.6    1514 python3
   1002     702  1.8   23714 MainThread
   1060    1002  0.5   23712 codex
    702     698  0.0   23716 MainThread
 341222    1002  0.0    5660 agy
    946     945  0.0   23715 MainThread
    953     702  0.0   23715 MainThread
    919     702  0.0   23715 MainThread
    945     943  0.0   23715 Relay(946)
    270       1  0.0   23718 containerd
    875     874  0.0   23715 MainThread
   3616    1060  0.0   23672 codex-code-mode
    248       1  0.0   23718 snapd
    329       1  0.0   23718 dockerd
    127       1  0.0   23720 snapfuse
   1028     953  0.0   23713 MainThread
 360539     702  0.0    4249 MainThread
     51       1  0.0   23720 systemd-journal
     93       1  0.0   23720 systemd-udevd
   1294    1002  0.0   23711 MainThread
    874     873  0.0   23715 Relay(875)
      1       0  0.0   23724 systemd
    266       1  0.0   23718 rsyslogd
 372950    1060  0.0    1606 node-MainThread
    242       1  0.0   23718 dbus-daemon
 363295    1060  0.0    3676 node-MainThread
    252       1  0.0   23718 wsl-pro-service
    234       1  0.0   23718 systemd-timesyn
 307658    1060  0.0    7854 node-MainThread
   2818    1060  0.0   23693 node-MainThread
    249       1  0.0   23718 systemd-logind
 316026  316025  0.0    7079 Relay(316033)
    230       1  0.0   23718 systemd-resolve
    825       1  0.0   23715 systemd
 341549  341545  0.0    5633 bash
 316033  316026  0.0    7079 bash
    281       1  0.0   23718 unattended-upgr
    838     670  0.0   23715 bash
    241       1  0.0   23718 cron
      6       2  0.0   23723 init
      2       1  0.0   23724 init-systemd(Ub
    108       1  0.0   23720 snapfuse
    109       1  0.0   23720 snapfuse
    115       1  0.0   23720 snapfuse
    120       1  0.0   23720 snapfuse
    124       1  0.0   23720 snapfuse
    257       1  0.0   23718 agetty
    264       1  0.0   23718 agetty
    670       2  0.0   23716 login
    689       2  0.0   23716 SessionLeader
    690     689  0.0   23716 Relay(691)
    691     690  0.0   23716 sh
    692     691  0.0   23716 sh
    698     692  0.0   23716 sh
    826     825  0.0   23715 (sd-pam)
    873       2  0.0   23715 SessionLeader
    943       2  0.0   23715 SessionLeader
 316025       2  0.0    7079 SessionLeader
 341544       2  0.0    5633 SessionLeader
 341545  341544  0.0    5633 Relay(341549)
 373841     825  0.0    1514 dbus-daemon
 385551  385545  0.0       0 ps
