    PID    PPID %CPU ELAPSED COMMAND
 379455  379448  135       2 python
 377556  342649  107     189 tblastx
 379401  379378 98.5       4 python
 372396    1002 11.4     932 git
 373838  316033  3.2     698 python3
   1002     702  1.8   22897 MainThread
 379448  379447  0.6       2 python
   1060    1002  0.5   22896 codex
 379378  379377  0.4       4 python
 379441    1060  0.3       2 codex-linux-san
 379371    1060  0.2       4 codex-linux-san
 377719      93  0.1     176 (udev-worker)
    702     698  0.0   22899 MainThread
 341222    1002  0.0    4843 agy
 378878    1060  0.0      25 python
    946     945  0.0   22898 MainThread
    953     702  0.0   22898 MainThread
    919     702  0.0   22898 MainThread
    945     943  0.0   22898 Relay(946)
    270       1  0.0   22901 containerd
    875     874  0.0   22898 MainThread
   3616    1060  0.0   22856 codex-code-mode
 377720      93  0.0     176 (udev-worker)
    329       1  0.0   22901 dockerd
    127       1  0.0   22903 snapfuse
 360539     702  0.0    3432 MainThread
   1028     953  0.0   22897 MainThread
    248       1  0.0   22901 snapd
     51       1  0.0   22903 systemd-journal
 372950    1060  0.0     789 node-MainThread
     93       1  0.0   22903 systemd-udevd
 342649  341549  0.0    4749 run_comparison.
   1294    1002  0.0   22895 MainThread
    874     873  0.0   22898 Relay(875)
      1       0  0.0   22907 systemd
 373918  373838  0.0     696 xdg-open
    266       1  0.0   22901 rsyslogd
    242       1  0.0   22901 dbus-daemon
 363295    1060  0.0    2859 node-MainThread
    252       1  0.0   22901 wsl-pro-service
 307658    1060  0.0    7037 node-MainThread
    234       1  0.0   22901 systemd-timesyn
   2818    1060  0.0   22877 node-MainThread
    249       1  0.0   22901 systemd-logind
 316026  316025  0.0    6262 Relay(316033)
    230       1  0.0   22901 systemd-resolve
 341549  341545  0.0    4817 bash
    825       1  0.0   22899 systemd
 316033  316026  0.0    6262 bash
    281       1  0.0   22901 unattended-upgr
    838     670  0.0   22899 bash
    241       1  0.0   22901 cron
      6       2  0.0   22906 init
      2       1  0.0   22907 init-systemd(Ub
    108       1  0.0   22903 snapfuse
    109       1  0.0   22903 snapfuse
    115       1  0.0   22903 snapfuse
    120       1  0.0   22903 snapfuse
    124       1  0.0   22903 snapfuse
    257       1  0.0   22901 agetty
    264       1  0.0   22901 agetty
    670       2  0.0   22899 login
    689       2  0.0   22899 SessionLeader
    690     689  0.0   22899 Relay(691)
    691     690  0.0   22899 sh
    692     691  0.0   22899 sh
    698     692  0.0   22899 sh
    826     825  0.0   22899 (sd-pam)
    873       2  0.0   22898 SessionLeader
    943       2  0.0   22898 SessionLeader
 316025       2  0.0    6262 SessionLeader
 341544       2  0.0    4817 SessionLeader
 341545  341544  0.0    4817 Relay(341549)
 373841     825  0.0     698 dbus-daemon
 379376  379371  0.0       4 bwrap
 379377  379376  0.0       4 codex
 379446  379441  0.0       2 bwrap
 379447  379446  0.0       2 codex
 379513  378878  0.0       0 ps
