    PID    PPID %CPU ELAPSED COMMAND
 377556  342649  107     164 tblastx
 378498  378491 51.4      51 python
 378878    1060 40.0       0 python
 372396    1002 11.5     907 git
 373838  316033  2.8     673 python3
   1002     702  1.8   22872 MainThread
   1060    1002  0.5   22871 codex
 377719      93  0.1     150 (udev-worker)
    702     698  0.0   22874 MainThread
 341222    1002  0.0    4818 agy
    946     945  0.0   22873 MainThread
    953     702  0.0   22873 MainThread
 378491  378490  0.0      51 python
    919     702  0.0   22873 MainThread
 378481    1060  0.0      51 codex-linux-san
    945     943  0.0   22873 Relay(946)
    270       1  0.0   22876 containerd
    875     874  0.0   22873 MainThread
   3616    1060  0.0   22831 codex-code-mode
    329       1  0.0   22876 dockerd
    127       1  0.0   22878 snapfuse
 360539     702  0.0    3407 MainThread
   1028     953  0.0   22872 MainThread
 377720      93  0.0     150 (udev-worker)
    248       1  0.0   22876 snapd
     51       1  0.0   22878 systemd-journal
 372950    1060  0.0     764 node-MainThread
     93       1  0.0   22878 systemd-udevd
 342649  341549  0.0    4724 run_comparison.
   1294    1002  0.0   22870 MainThread
    874     873  0.0   22873 Relay(875)
      1       0  0.0   22882 systemd
 373918  373838  0.0     671 xdg-open
    266       1  0.0   22876 rsyslogd
    242       1  0.0   22876 dbus-daemon
 363295    1060  0.0    2834 node-MainThread
    252       1  0.0   22876 wsl-pro-service
 307658    1060  0.0    7012 node-MainThread
    234       1  0.0   22876 systemd-timesyn
   2818    1060  0.0   22852 node-MainThread
    249       1  0.0   22876 systemd-logind
 316026  316025  0.0    6237 Relay(316033)
    230       1  0.0   22876 systemd-resolve
 341549  341545  0.0    4792 bash
    825       1  0.0   22874 systemd
 316033  316026  0.0    6237 bash
    281       1  0.0   22876 unattended-upgr
    838     670  0.0   22874 bash
    241       1  0.0   22876 cron
      6       2  0.0   22881 init
      2       1  0.0   22882 init-systemd(Ub
    108       1  0.0   22878 snapfuse
    109       1  0.0   22878 snapfuse
    115       1  0.0   22878 snapfuse
    120       1  0.0   22878 snapfuse
    124       1  0.0   22878 snapfuse
    257       1  0.0   22876 agetty
    264       1  0.0   22876 agetty
    670       2  0.0   22874 login
    689       2  0.0   22874 SessionLeader
    690     689  0.0   22874 Relay(691)
    691     690  0.0   22874 sh
    692     691  0.0   22874 sh
    698     692  0.0   22874 sh
    826     825  0.0   22874 (sd-pam)
    873       2  0.0   22873 SessionLeader
    943       2  0.0   22873 SessionLeader
 316025       2  0.0    6237 SessionLeader
 341544       2  0.0    4792 SessionLeader
 341545  341544  0.0    4792 Relay(341549)
 373841     825  0.0     672 dbus-daemon
 378489  378481  0.0      51 bwrap
 378490  378489  0.0      51 codex
 378884  378878  0.0       0 ps
