    PID    PPID %CPU ELAPSED COMMAND
 377556  342649  107     445 tblastx
 372396    1002 11.3    1189 git
 373838  316033  5.4     954 python3
   1002     702  1.8   23154 MainThread
   1060    1002  0.5   23152 codex
 377719      93  0.1     432 (udev-worker)
    702     698  0.0   23155 MainThread
 341222    1002  0.0    5100 agy
    946     945  0.0   23155 MainThread
    953     702  0.0   23155 MainThread
    919     702  0.0   23155 MainThread
    945     943  0.0   23155 Relay(946)
    270       1  0.0   23158 containerd
    875     874  0.0   23155 MainThread
 377720      93  0.0     432 (udev-worker)
   3616    1060  0.0   23112 codex-code-mode
 381034    1060  0.0      93 python
    329       1  0.0   23157 dockerd
    248       1  0.0   23158 snapd
    127       1  0.0   23160 snapfuse
   1028     953  0.0   23153 MainThread
 360539     702  0.0    3689 MainThread
     51       1  0.0   23160 systemd-journal
     93       1  0.0   23160 systemd-udevd
 372950    1060  0.0    1045 node-MainThread
   1294    1002  0.0   23151 MainThread
    874     873  0.0   23155 Relay(875)
      1       0  0.0   23164 systemd
 342649  341549  0.0    5005 run_comparison.
    266       1  0.0   23158 rsyslogd
 373918  373838  0.0     953 xdg-open
    242       1  0.0   23158 dbus-daemon
 363295    1060  0.0    3115 node-MainThread
 307658    1060  0.0    7294 node-MainThread
    252       1  0.0   23158 wsl-pro-service
    234       1  0.0   23158 systemd-timesyn
   2818    1060  0.0   23133 node-MainThread
    249       1  0.0   23158 systemd-logind
 316026  316025  0.0    6518 Relay(316033)
    230       1  0.0   23158 systemd-resolve
 341549  341545  0.0    5073 bash
    825       1  0.0   23155 systemd
 316033  316026  0.0    6518 bash
    281       1  0.0   23158 unattended-upgr
    838     670  0.0   23155 bash
    241       1  0.0   23158 cron
      6       2  0.0   23163 init
      2       1  0.0   23164 init-systemd(Ub
    108       1  0.0   23160 snapfuse
    109       1  0.0   23160 snapfuse
    115       1  0.0   23160 snapfuse
    120       1  0.0   23160 snapfuse
    124       1  0.0   23160 snapfuse
    257       1  0.0   23158 agetty
    264       1  0.0   23158 agetty
    670       2  0.0   23156 login
    689       2  0.0   23155 SessionLeader
    690     689  0.0   23155 Relay(691)
    691     690  0.0   23155 sh
    692     691  0.0   23155 sh
    698     692  0.0   23155 sh
    826     825  0.0   23155 (sd-pam)
    873       2  0.0   23155 SessionLeader
    943       2  0.0   23155 SessionLeader
 316025       2  0.0    6518 SessionLeader
 341544       2  0.0    5073 SessionLeader
 341545  341544  0.0    5073 Relay(341549)
 373841     825  0.0     954 dbus-daemon
 382558  381034  0.0       0 ps
