    PID    PPID %CPU ELAPSED COMMAND
 377556  342649  107     352 tblastx
 372396    1002 11.2    1096 git
 381034    1060  7.1       0 python
 373838  316033  4.7     861 python3
   1002     702  1.8   23061 MainThread
   1060    1002  0.5   23059 codex
 377719      93  0.1     339 (udev-worker)
    702     698  0.0   23062 MainThread
 341222    1002  0.0    5006 agy
    946     945  0.0   23061 MainThread
    953     702  0.0   23061 MainThread
    919     702  0.0   23061 MainThread
    945     943  0.0   23061 Relay(946)
    270       1  0.0   23065 containerd
    875     874  0.0   23062 MainThread
   3616    1060  0.0   23019 codex-code-mode
 377720      93  0.0     339 (udev-worker)
    329       1  0.0   23064 dockerd
    248       1  0.0   23065 snapd
    127       1  0.0   23067 snapfuse
   1028     953  0.0   23060 MainThread
 360539     702  0.0    3595 MainThread
     51       1  0.0   23067 systemd-journal
     93       1  0.0   23067 systemd-udevd
 372950    1060  0.0     952 node-MainThread
   1294    1002  0.0   23058 MainThread
    874     873  0.0   23062 Relay(875)
 342649  341549  0.0    4912 run_comparison.
      1       0  0.0   23070 systemd
    266       1  0.0   23065 rsyslogd
 373918  373838  0.0     860 xdg-open
    242       1  0.0   23065 dbus-daemon
 363295    1060  0.0    3022 node-MainThread
 307658    1060  0.0    7201 node-MainThread
    252       1  0.0   23065 wsl-pro-service
    234       1  0.0   23065 systemd-timesyn
   2818    1060  0.0   23040 node-MainThread
    249       1  0.0   23065 systemd-logind
 316026  316025  0.0    6425 Relay(316033)
    230       1  0.0   23065 systemd-resolve
 341549  341545  0.0    4980 bash
    825       1  0.0   23062 systemd
 316033  316026  0.0    6425 bash
    281       1  0.0   23064 unattended-upgr
    838     670  0.0   23062 bash
    241       1  0.0   23065 cron
      6       2  0.0   23070 init
      2       1  0.0   23070 init-systemd(Ub
    108       1  0.0   23067 snapfuse
    109       1  0.0   23067 snapfuse
    115       1  0.0   23067 snapfuse
    120       1  0.0   23067 snapfuse
    124       1  0.0   23067 snapfuse
    257       1  0.0   23065 agetty
    264       1  0.0   23065 agetty
    670       2  0.0   23062 login
    689       2  0.0   23062 SessionLeader
    690     689  0.0   23062 Relay(691)
    691     690  0.0   23062 sh
    692     691  0.0   23062 sh
    698     692  0.0   23062 sh
    826     825  0.0   23062 (sd-pam)
    873       2  0.0   23062 SessionLeader
    943       2  0.0   23061 SessionLeader
 316025       2  0.0    6425 SessionLeader
 341544       2  0.0    4980 SessionLeader
 341545  341544  0.0    4980 Relay(341549)
 373841     825  0.0     861 dbus-daemon
 381041  381034  0.0       0 ps
