2026-09-16T07:14:50.854864+00:00
    PID    PPID ELAPSED     TIME %CPU %MEM COMMAND
 353620  342649     131 00:02:24  109  0.4 LOSAT
 355547  352611       0 00:00:00 50.0  0.0 python
 308107    1002    2982 00:02:54  5.8  0.0 git
    989     702   18852 00:05:58  1.9  1.8 MainThread
   1002     702   18851 00:05:44  1.8  1.9 MainThread
   1059     989   18849 00:02:21  0.7  2.1 codex
   1060    1002   18849 00:01:41  0.5  1.9 codex
    976     702   18852 00:00:44  0.2  0.7 MainThread
 341222    1002     797 00:00:01  0.1  0.6 agy
    702     698   18853 00:00:17  0.0  0.6 MainThread
    968     967   18852 00:00:10  0.0  0.2 MainThread
    953     702   18852 00:00:09  0.0  0.4 MainThread
    946     945   18852 00:00:08  0.0  0.2 MainThread
    919     702   18852 00:00:05  0.0  0.2 MainThread
 352611    1060     185 00:00:00  0.0  0.0 python
    967     966   18852 00:00:04  0.0  0.0 Relay(968)
    945     943   18852 00:00:03  0.0  0.0 Relay(946)
    270       1   18855 00:00:03  0.0  0.1 containerd
 316119  316033    2210 00:00:00  0.0  0.0 ssh
   5517    1059   18568 00:00:02  0.0  0.0 codex-code-mode
    889     888   18852 00:00:02  0.0  0.2 MainThread
 342649  341549     703 00:00:00  0.0  0.0 run_comparison.
    875     874   18852 00:00:02  0.0  0.2 MainThread
   3616    1060   18810 00:00:01  0.0  0.0 codex-code-mode
    329       1   18855 00:00:01  0.0  0.2 dockerd
    127       1   18857 00:00:01  0.0  0.0 snapfuse
   1028     953   18850 00:00:01  0.0  0.9 MainThread
 343365    1059     655 00:00:00  0.0  0.1 node-MainThread
 293104     989    4536 00:00:00  0.0  0.2 MainThread
     51       1   18857 00:00:01  0.0  0.0 systemd-journal
    248       1   18855 00:00:00  0.0  0.1 snapd
   1294    1002   18848 00:00:00  0.0  0.2 MainThread
      1       0   18861 00:00:00  0.0  0.0 systemd
    874     873   18852 00:00:00  0.0  0.0 Relay(875)
    888     887   18852 00:00:00  0.0  0.0 Relay(889)
 341549  341545     770 00:00:00  0.0  0.0 bash
    266       1   18855 00:00:00  0.0  0.0 rsyslogd
    242       1   18855 00:00:00  0.0  0.0 dbus-daemon
 307658    1060    2991 00:00:00  0.0  0.1 node-MainThread
 316026  316025    2216 00:00:00  0.0  0.0 Relay(316033)
  31246    1059   16947 00:00:00  0.0  0.1 node-MainThread
    234       1   18855 00:00:00  0.0  0.0 systemd-timesyn
     93       1   18857 00:00:00  0.0  0.0 systemd-udevd
    252       1   18855 00:00:00  0.0  0.0 wsl-pro-service
   2198    1059   18839 00:00:00  0.0  0.1 node-MainThread
   2818    1060   18830 00:00:00  0.0  0.1 node-MainThread
 316033  316026    2216 00:00:00  0.0  0.0 bash
    249       1   18855 00:00:00  0.0  0.0 systemd-logind
    230       1   18855 00:00:00  0.0  0.0 systemd-resolve
    825       1   18853 00:00:00  0.0  0.0 systemd
    281       1   18855 00:00:00  0.0  0.0 unattended-upgr
    838     670   18852 00:00:00  0.0  0.0 bash
    241       1   18855 00:00:00  0.0  0.0 cron
      2       1   18861 00:00:00  0.0  0.0 init-systemd(Ub
      6       2   18860 00:00:00  0.0  0.0 init
    108       1   18857 00:00:00  0.0  0.0 snapfuse
    109       1   18857 00:00:00  0.0  0.0 snapfuse
    115       1   18857 00:00:00  0.0  0.0 snapfuse
    120       1   18857 00:00:00  0.0  0.0 snapfuse
    124       1   18857 00:00:00  0.0  0.0 snapfuse
    257       1   18855 00:00:00  0.0  0.0 agetty
    264       1   18855 00:00:00  0.0  0.0 agetty
    670       2   18853 00:00:00  0.0  0.0 login
    689       2   18853 00:00:00  0.0  0.0 SessionLeader
    690     689   18853 00:00:00  0.0  0.0 Relay(691)
    691     690   18853 00:00:00  0.0  0.0 sh
    692     691   18853 00:00:00  0.0  0.0 sh
    698     692   18853 00:00:00  0.0  0.0 sh
    826     825   18852 00:00:00  0.0  0.0 (sd-pam)
    873       2   18852 00:00:00  0.0  0.0 SessionLeader
    887       2   18852 00:00:00  0.0  0.0 SessionLeader
    943       2   18852 00:00:00  0.0  0.0 SessionLeader
    966       2   18852 00:00:00  0.0  0.0 SessionLeader
 316025       2    2216 00:00:00  0.0  0.0 SessionLeader
 341544       2     770 00:00:00  0.0  0.0 SessionLeader
 341545  341544     770 00:00:00  0.0  0.0 Relay(341549)
 355521      93       4 00:00:00  0.0  0.0 (udev-worker)
 355522      93       4 00:00:00  0.0  0.0 (udev-worker)
 355548  355547       0 00:00:00  0.0  0.0 ps
