    PID    PPID     ELAPSED %CPU COMMAND
 318568  318566       00:33  5.7 python
 308107    1002       16:42  4.0 git
 317625  317624       01:49  3.7 tar
 317626  317624       01:49  3.2 zstd
    989     702    04:41:12  1.8 MainThread
   1002     702    04:41:11  1.7 MainThread
   1059     989    04:41:10  0.7 codex
   1060    1002    04:41:10  0.5 codex
    976     702    04:41:12  0.2 MainThread
 318566  318549       00:33  0.0 python
    702     698    04:41:13  0.0 MainThread
 316119  316033       03:50  0.0 ssh
 318549  318542       00:34  0.0 python
    968     967    04:41:12  0.0 MainThread
    953     702    04:41:12  0.0 MainThread
    946     945    04:41:12  0.0 MainThread
    919     702    04:41:12  0.0 MainThread
 318542  318536       00:34  0.0 python
 318529    1060       00:34  0.0 codex-linux-san
    967     966    04:41:12  0.0 Relay(968)
    270       1    04:41:15  0.0 containerd
    945     943    04:41:12  0.0 Relay(946)
   5517    1059    04:36:28  0.0 codex-code-mode
    889     888    04:41:12  0.0 MainThread
