    PID    PPID %CPU ELAPSED COMMAND
  61303    1021 11.7    1061 git
   7817     701  9.0    7677 python3
   1021     933  3.0    8483 MainThread
   1077    1021  0.8    8481 codex
   4773    1021  0.5    8102 agy
    933     929  0.1    8484 MainThread
   7292    1021  0.1    7731 MainThread
    960     959  0.1    8483 MainThread
    271       1  0.0    8490 snapd
     93       1  0.0    8494 systemd-udevd
  83519    1077  0.0      37 python
    999     933  0.0    8483 MainThread
    959     958  0.0    8483 Relay(960)
   7291    1021  0.0    7731 MainThread
   1010     933  0.0    8483 MainThread
   2505    1077  0.0    8448 codex-code-mode
    121       1  0.0    8494 snapfuse
     51       1  0.0    8494 systemd-journal
    947     946  0.0    8483 MainThread
   1049    1010  0.0    8481 MainThread
    310       1  0.0    8490 containerd
   7306    1021  0.0    7731 MainThread
    285       1  0.0    8490 rsyslogd
    364       1  0.0    8489 dockerd
   6517    1021  0.0    7831 MainThread
   7314    7292  0.0    7731 MainThread
  63621    1077  0.0     614 node-MainThread
      1       0  0.0    8495 systemd
   1153    1021  0.0    8480 MainThread
    946     945  0.0    8483 Relay(947)
    265       1  0.0    8490 dbus-daemon
  39668    1077  0.0    3501 node-MainThread
    257       1  0.0    8490 systemd-timesyn
   2112    1077  0.0    8457 node-MainThread
    272       1  0.0    8490 systemd-logind
    275       1  0.0    8490 wsl-pro-service
    256       1  0.0    8490 systemd-resolve
    866       1  0.0    8487 systemd
    308       1  0.0    8490 unattended-upgr
    701     700  0.0    8488 bash
    880     702  0.0    8487 bash
      2       1  0.0    8495 init-systemd(Ub
      6       2  0.0    8495 init
    112       1  0.0    8494 snapfuse
    113       1  0.0    8494 snapfuse
    114       1  0.0    8494 snapfuse
    116       1  0.0    8494 snapfuse
    127       1  0.0    8494 snapfuse
    264       1  0.0    8490 cron
    280       1  0.0    8490 agetty
    284       1  0.0    8490 agetty
    699       2  0.0    8488 SessionLeader
    700     699  0.0    8488 Relay(701)
    702       2  0.0    8488 login
    867     866  0.0    8487 (sd-pam)
    920       2  0.0    8484 SessionLeader
    921     920  0.0    8484 Relay(922)
    922     921  0.0    8484 sh
    923     922  0.0    8484 sh
    929     923  0.0    8484 sh
    945       2  0.0    8483 SessionLeader
    958       2  0.0    8483 SessionLeader
   5140     866  0.0    8021 dbus-daemon
  89474   83519  0.0       0 ps
