    PID    PPID %CPU ELAPSED COMMAND
  83495   69702 40.0       0 node-MainThread
  83519    1077 40.0       0 python
  61303    1021 12.0    1023 git
   7817     701  9.1    7639 python3
  69702   69695  7.4      63 node-MainThread
   1021     933  3.0    8445 MainThread
  67282   67244  1.0     116 python
   1077    1021  0.8    8443 codex
   4773    1021  0.5    8064 agy
    933     929  0.1    8446 MainThread
   7292    1021  0.1    7693 MainThread
    960     959  0.1    8445 MainThread
  69695   69688  0.0      64 node-MainThread
    271       1  0.0    8452 snapd
     93       1  0.0    8456 systemd-udevd
    999     933  0.0    8445 MainThread
    959     958  0.0    8445 Relay(960)
   7291    1021  0.0    7693 MainThread
  69688    1077  0.0      64 python
   1010     933  0.0    8445 MainThread
   2505    1077  0.0    8410 codex-code-mode
    121       1  0.0    8456 snapfuse
     51       1  0.0    8456 systemd-journal
    947     946  0.0    8445 MainThread
   1049    1010  0.0    8443 MainThread
    310       1  0.0    8452 containerd
   7306    1021  0.0    7693 MainThread
    285       1  0.0    8452 rsyslogd
    364       1  0.0    8451 dockerd
  67244   67240  0.0     116 python
  67226    1077  0.0     116 codex-linux-san
   6517    1021  0.0    7793 MainThread
   7314    7292  0.0    7693 MainThread
  63621    1077  0.0     576 node-MainThread
      1       0  0.0    8457 systemd
   1153    1021  0.0    8442 MainThread
    946     945  0.0    8445 Relay(947)
    265       1  0.0    8452 dbus-daemon
  39668    1077  0.0    3463 node-MainThread
    257       1  0.0    8452 systemd-timesyn
   2112    1077  0.0    8419 node-MainThread
    272       1  0.0    8452 systemd-logind
    275       1  0.0    8452 wsl-pro-service
    256       1  0.0    8452 systemd-resolve
    866       1  0.0    8449 systemd
    308       1  0.0    8452 unattended-upgr
    701     700  0.0    8450 bash
    880     702  0.0    8449 bash
      2       1  0.0    8457 init-systemd(Ub
      6       2  0.0    8457 init
    112       1  0.0    8456 snapfuse
    113       1  0.0    8456 snapfuse
    114       1  0.0    8456 snapfuse
    116       1  0.0    8456 snapfuse
    127       1  0.0    8456 snapfuse
    264       1  0.0    8452 cron
    280       1  0.0    8452 agetty
    284       1  0.0    8452 agetty
    699       2  0.0    8450 SessionLeader
    700     699  0.0    8450 Relay(701)
    702       2  0.0    8450 login
    867     866  0.0    8449 (sd-pam)
    920       2  0.0    8446 SessionLeader
    921     920  0.0    8446 Relay(922)
    922     921  0.0    8446 sh
    923     922  0.0    8446 sh
    929     923  0.0    8446 sh
    945       2  0.0    8445 SessionLeader
    958       2  0.0    8445 SessionLeader
   5140     866  0.0    7983 dbus-daemon
  67239   67226  0.0     116 bwrap
  67240   67239  0.0     116 codex
  83532   83519  0.0       0 ps
