    PID    PPID %CPU ELAPSED COMMAND
 125314    1077 60.0       0 python
   7817     701  6.7   10328 python3
 125133  125071  5.1      25 python
   1021     933  3.0   11133 MainThread
 125071  125064  1.2      35 python
   1077    1021  0.7   11131 codex
   4773    1021  0.6   10752 agy
   7292    1021  0.1   10381 MainThread
    933     929  0.1   11134 MainThread
    960     959  0.0   11133 MainThread
    271       1  0.0   11140 snapd
 125064  125063  0.0      35 python
    999     933  0.0   11133 MainThread
    959     958  0.0   11133 Relay(960)
     93       1  0.0   11145 systemd-udevd
   7291    1021  0.0   10381 MainThread
   1010     933  0.0   11133 MainThread
   2505    1077  0.0   11098 codex-code-mode
     51       1  0.0   11145 systemd-journal
    947     946  0.0   11133 MainThread
    121       1  0.0   11145 snapfuse
    310       1  0.0   11140 containerd
   7306    1021  0.0   10381 MainThread
   1049    1010  0.0   11132 MainThread
    285       1  0.0   11140 rsyslogd
    364       1  0.0   11140 dockerd
   6517    1021  0.0   10481 MainThread
   7314    7292  0.0   10381 MainThread
      1       0  0.0   11146 systemd
   1153    1021  0.0   11131 MainThread
    946     945  0.0   11133 Relay(947)
  63621    1077  0.0    3264 node-MainThread
    265       1  0.0   11140 dbus-daemon
    257       1  0.0   11140 systemd-timesyn
  39668    1077  0.0    6151 node-MainThread
   2112    1077  0.0   11107 node-MainThread
    272       1  0.0   11140 systemd-logind
    275       1  0.0   11140 wsl-pro-service
    256       1  0.0   11140 systemd-resolve
    866       1  0.0   11138 systemd
    308       1  0.0   11140 unattended-upgr
    701     700  0.0   11138 bash
    880     702  0.0   11138 bash
    264       1  0.0   11140 cron
      2       1  0.0   11146 init-systemd(Ub
      6       2  0.0   11145 init
    112       1  0.0   11145 snapfuse
    113       1  0.0   11145 snapfuse
    114       1  0.0   11145 snapfuse
    116       1  0.0   11145 snapfuse
    127       1  0.0   11145 snapfuse
    280       1  0.0   11140 agetty
    284       1  0.0   11140 agetty
    699       2  0.0   11138 SessionLeader
    700     699  0.0   11138 Relay(701)
    702       2  0.0   11138 login
    867     866  0.0   11138 (sd-pam)
    920       2  0.0   11134 SessionLeader
    921     920  0.0   11134 Relay(922)
    922     921  0.0   11134 sh
    923     922  0.0   11134 sh
    929     923  0.0   11134 sh
    945       2  0.0   11133 SessionLeader
    958       2  0.0   11133 SessionLeader
   5140     866  0.0   10671 dbus-daemon
 125057    1077  0.0      35 codex-linux-san
 125062  125057  0.0      35 bwrap
 125063  125062  0.0      35 codex
 125320  125314  0.0       0 ps
