    PID    PPID %CPU ELAPSED COMMAND
 100970  100938  288     240 chrome-headless
 107069  102703  193       2 chrome-headless
 106439  104725  133      13 chrome-headless
 100953  100937  100     240 chrome-headless
 104741  104724 80.2      57 chrome-headless
 106783   89705 66.6       5 python
 102719  102702 37.9     145 chrome-headless
  89705   89698 20.3     868 python
  90951    1021  9.2     709 git
 104621  104614  9.1      62 python
   7817     701  8.1    8565 python3
   1021     933  3.0    9370 MainThread
 104722  104706  2.6      57 chrome-headless
 104706  104621  2.1      57 MainThread
 100809  100802  1.9     246 python
 104743  104722  1.7      57 chrome-headless
 102681  102573  1.6     147 node-MainThread
 102700  102681  1.6     145 chrome-headless
 102641  102640  1.4     148 python3
 102721  102700  1.2     145 chrome-headless
   1077    1021  0.8    9368 codex
 102573  102566  0.7     151 node-MainThread
   4773    1021  0.6    8990 agy
 100922  100809  0.3     240 MainThread
 100935  100922  0.2     240 chrome-headless
 100955  100935  0.1     240 chrome-headless
    933     929  0.1    9371 MainThread
   7292    1021  0.1    8618 MainThread
    960     959  0.1    9371 MainThread
    271       1  0.0    9378 snapd
 104614    1077  0.0      62 python
     93       1  0.0    9382 systemd-udevd
    999     933  0.0    9371 MainThread
    959     958  0.0    9371 Relay(960)
   7291    1021  0.0    8618 MainThread
 103769    1077  0.0     110 python
   1010     933  0.0    9370 MainThread
 102566    1077  0.0     151 python
   2505    1077  0.0    9335 codex-code-mode
 104724  104722  0.0      57 chrome-headless
 104725  104722  0.0      57 chrome-headless
     51       1  0.0    9382 systemd-journal
    121       1  0.0    9382 snapfuse
    947     946  0.0    9371 MainThread
    310       1  0.0    9378 containerd
   1049    1010  0.0    9369 MainThread
   7306    1021  0.0    8618 MainThread
    285       1  0.0    9378 rsyslogd
    364       1  0.0    9377 dockerd
 100802    1077  0.0     246 python
   6517    1021  0.0    8718 MainThread
 102703  102700  0.0     145 chrome-headless
   7314    7292  0.0    8618 MainThread
      1       0  0.0    9383 systemd
   1153    1021  0.0    9368 MainThread
 100937  100935  0.0     240 chrome-headless
    946     945  0.0    9371 Relay(947)
  63621    1077  0.0    1501 node-MainThread
  89698    1077  0.0     868 python
    265       1  0.0    9378 dbus-daemon
    257       1  0.0    9378 systemd-timesyn
  39668    1077  0.0    4388 node-MainThread
   2112    1077  0.0    9345 node-MainThread
    275       1  0.0    9378 wsl-pro-service
    272       1  0.0    9378 systemd-logind
    256       1  0.0    9378 systemd-resolve
    866       1  0.0    9375 systemd
    308       1  0.0    9378 unattended-upgr
    701     700  0.0    9375 bash
    880     702  0.0    9375 bash
      2       1  0.0    9383 init-systemd(Ub
      6       2  0.0    9382 init
    112       1  0.0    9382 snapfuse
    113       1  0.0    9382 snapfuse
    114       1  0.0    9382 snapfuse
    116       1  0.0    9382 snapfuse
    127       1  0.0    9382 snapfuse
    264       1  0.0    9378 cron
    280       1  0.0    9378 agetty
    284       1  0.0    9378 agetty
    699       2  0.0    9375 SessionLeader
    700     699  0.0    9375 Relay(701)
    702       2  0.0    9375 login
    867     866  0.0    9375 (sd-pam)
    920       2  0.0    9371 SessionLeader
    921     920  0.0    9371 Relay(922)
    922     921  0.0    9371 sh
    923     922  0.0    9371 sh
    929     923  0.0    9371 sh
    945       2  0.0    9371 SessionLeader
    958       2  0.0    9371 SessionLeader
   5140     866  0.0    8908 dbus-daemon
 100938  100935  0.0     240 chrome-headless
 102640  102573  0.0     148 sh
 102702  102700  0.0     145 chrome-headless
 107305  103769  0.0       0 ps
