    PID    PPID %CPU ELAPSED COMMAND
 103718   89705  234       1 python
 100970  100938  171     130 chrome-headless
 103221  102703  114      25 chrome-headless
 103613    7817  105      10 python3
 100953  100937 96.5     130 chrome-headless
 103769    1077 50.0       0 python
  89705   89698 23.0     757 python
 102719  102702 22.3      35 chrome-headless
  90951    1021  9.4     599 git
   7817     701  8.2    8455 python3
 100809  100802  3.4     135 python
   1021     933  2.9    9260 MainThread
 102681  102573  2.6      36 node-MainThread
 102573  102566  2.0      40 node-MainThread
 102700  102681  1.8      35 chrome-headless
 102641  102640  1.3      37 python3
 102721  102700  1.2      35 chrome-headless
   1077    1021  0.8    9258 codex
 100922  100809  0.5     130 MainThread
   4773    1021  0.5    8879 agy
 100935  100922  0.4     130 chrome-headless
 100955  100935  0.2     130 chrome-headless
    933     929  0.1    9261 MainThread
   7292    1021  0.1    8508 MainThread
    960     959  0.1    9260 MainThread
 102566    1077  0.0      41 python
 103614      93  0.0      10 (udev-worker)
    271       1  0.0    9267 snapd
     93       1  0.0    9272 systemd-udevd
    999     933  0.0    9260 MainThread
    959     958  0.0    9260 Relay(960)
   7291    1021  0.0    8508 MainThread
   1010     933  0.0    9260 MainThread
   2505    1077  0.0    9225 codex-code-mode
     51       1  0.0    9272 systemd-journal
    121       1  0.0    9272 snapfuse
 100802    1077  0.0     135 python
    947     946  0.0    9260 MainThread
    310       1  0.0    9267 containerd
   1049    1010  0.0    9259 MainThread
   7306    1021  0.0    8508 MainThread
    285       1  0.0    9267 rsyslogd
    364       1  0.0    9267 dockerd
 100937  100935  0.0     130 chrome-headless
   6517    1021  0.0    8608 MainThread
   7314    7292  0.0    8508 MainThread
      1       0  0.0    9273 systemd
   1153    1021  0.0    9258 MainThread
    946     945  0.0    9260 Relay(947)
  63621    1077  0.0    1391 node-MainThread
  89698    1077  0.0     757 python
    265       1  0.0    9267 dbus-daemon
    257       1  0.0    9267 systemd-timesyn
  39668    1077  0.0    4278 node-MainThread
   2112    1077  0.0    9234 node-MainThread
    275       1  0.0    9267 wsl-pro-service
    272       1  0.0    9267 systemd-logind
    256       1  0.0    9267 systemd-resolve
    866       1  0.0    9265 systemd
    308       1  0.0    9267 unattended-upgr
    701     700  0.0    9265 bash
    880     702  0.0    9265 bash
      2       1  0.0    9273 init-systemd(Ub
      6       2  0.0    9272 init
    112       1  0.0    9272 snapfuse
    113       1  0.0    9272 snapfuse
    114       1  0.0    9272 snapfuse
    116       1  0.0    9272 snapfuse
    127       1  0.0    9272 snapfuse
    264       1  0.0    9267 cron
    280       1  0.0    9267 agetty
    284       1  0.0    9267 agetty
    699       2  0.0    9265 SessionLeader
    700     699  0.0    9265 Relay(701)
    702       2  0.0    9265 login
    867     866  0.0    9265 (sd-pam)
    920       2  0.0    9261 SessionLeader
    921     920  0.0    9261 Relay(922)
    922     921  0.0    9261 sh
    923     922  0.0    9261 sh
    929     923  0.0    9261 sh
    945       2  0.0    9260 SessionLeader
    958       2  0.0    9260 SessionLeader
   5140     866  0.0    8798 dbus-daemon
 100938  100935  0.0     130 chrome-headless
 102640  102573  0.0      37 sh
 102702  102700  0.0      35 chrome-headless
 102703  102700  0.0      35 chrome-headless
 103611      93  0.0      11 (udev-worker)
 103776  103769  0.0       0 ps
