    PID    PPID %CPU ELAPSED COMMAND
 134691  134678  150       0 chrome-headless
 134678  126187  100       0 MainThread
 126187  126180 38.5     421 python
   7817     701  6.4   10848 python3
   1021     933  2.9   11654 MainThread
   1077    1021  0.7   11651 codex
   4773    1021  0.7   11273 agy
   7292    1021  0.1   10902 MainThread
    933     929  0.1   11654 MainThread
    960     959  0.0   11654 MainThread
    271       1  0.0   11661 snapd
    999     933  0.0   11654 MainThread
    959     958  0.0   11654 Relay(960)
     93       1  0.0   11665 systemd-udevd
   7291    1021  0.0   10902 MainThread
   1010     933  0.0   11654 MainThread
   2505    1077  0.0   11619 codex-code-mode
     51       1  0.0   11665 systemd-journal
    947     946  0.0   11654 MainThread
    121       1  0.0   11665 snapfuse
    310       1  0.0   11661 containerd
 130624    1077  0.0      90 python
   7306    1021  0.0   10901 MainThread
   1049    1010  0.0   11652 MainThread
    285       1  0.0   11661 rsyslogd
    364       1  0.0   11660 dockerd
   6517    1021  0.0   11001 MainThread
   7314    7292  0.0   10901 MainThread
      1       0  0.0   11666 systemd
   1153    1021  0.0   11651 MainThread
    946     945  0.0   11654 Relay(947)
 126180    1077  0.0     421 python
  63621    1077  0.0    3784 node-MainThread
    265       1  0.0   11661 dbus-daemon
    257       1  0.0   11661 systemd-timesyn
  39668    1077  0.0    6671 node-MainThread
   2112    1077  0.0   11628 node-MainThread
    275       1  0.0   11661 wsl-pro-service
    272       1  0.0   11661 systemd-logind
    256       1  0.0   11661 systemd-resolve
    866       1  0.0   11658 systemd
    308       1  0.0   11661 unattended-upgr
    701     700  0.0   11659 bash
    880     702  0.0   11658 bash
    264       1  0.0   11661 cron
      2       1  0.0   11666 init-systemd(Ub
      6       2  0.0   11666 init
    112       1  0.0   11665 snapfuse
    113       1  0.0   11665 snapfuse
    114       1  0.0   11665 snapfuse
    116       1  0.0   11665 snapfuse
    127       1  0.0   11665 snapfuse
    280       1  0.0   11661 agetty
    284       1  0.0   11661 agetty
    699       2  0.0   11659 SessionLeader
    700     699  0.0   11659 Relay(701)
    702       2  0.0   11659 login
    867     866  0.0   11658 (sd-pam)
    920       2  0.0   11654 SessionLeader
    921     920  0.0   11654 Relay(922)
    922     921  0.0   11654 sh
    923     922  0.0   11654 sh
    929     923  0.0   11654 sh
    945       2  0.0   11654 SessionLeader
    958       2  0.0   11654 SessionLeader
   5140     866  0.0   11191 dbus-daemon
 134693  134691  0.0       0 chrome-headless
 134694  134691  0.0       0 chrome-headless
 134709  134693  0.0       0 chrome-headless
 134711  134691  0.0       0 exe
 134718  130624  0.0       0 ps
