    PID    PPID %CPU ELAPSED COMMAND
 130365  128996  150       3 chrome-headless
 129010  128995 95.2      55 chrome-headless
 126187  126180 48.9     330 python
 130624    1077 25.0       0 python
   7817     701  6.5   10758 python3
 128975  128938  3.5      56 node-MainThread
   1021     933  2.9   11563 MainThread
 128993  128975  2.5      55 chrome-headless
 129012  128993  1.9      55 chrome-headless
 128938  128937  1.4      63 node-MainThread
 128965  128964  1.3      58 python3
   1077    1021  0.7   11561 codex
   4773    1021  0.7   11183 agy
   7292    1021  0.1   10811 MainThread
    933     929  0.1   11564 MainThread
 128926  126187  0.0      63 npm run test:we
    960     959  0.0   11563 MainThread
    271       1  0.0   11570 snapd
    999     933  0.0   11563 MainThread
    959     958  0.0   11563 Relay(960)
     93       1  0.0   11575 systemd-udevd
   7291    1021  0.0   10811 MainThread
   1010     933  0.0   11563 MainThread
   2505    1077  0.0   11528 codex-code-mode
 128996  128993  0.0      55 chrome-headless
     51       1  0.0   11575 systemd-journal
    947     946  0.0   11563 MainThread
    121       1  0.0   11575 snapfuse
    310       1  0.0   11570 containerd
   7306    1021  0.0   10811 MainThread
   1049    1010  0.0   11562 MainThread
    285       1  0.0   11570 rsyslogd
    364       1  0.0   11570 dockerd
   6517    1021  0.0   10911 MainThread
   7314    7292  0.0   10811 MainThread
      1       0  0.0   11576 systemd
   1153    1021  0.0   11561 MainThread
    946     945  0.0   11563 Relay(947)
 126180    1077  0.0     330 python
  63621    1077  0.0    3694 node-MainThread
    265       1  0.0   11570 dbus-daemon
    257       1  0.0   11570 systemd-timesyn
  39668    1077  0.0    6581 node-MainThread
   2112    1077  0.0   11537 node-MainThread
    275       1  0.0   11570 wsl-pro-service
    272       1  0.0   11570 systemd-logind
    256       1  0.0   11570 systemd-resolve
    866       1  0.0   11568 systemd
    308       1  0.0   11570 unattended-upgr
    701     700  0.0   11568 bash
    880     702  0.0   11568 bash
    264       1  0.0   11570 cron
      2       1  0.0   11576 init-systemd(Ub
      6       2  0.0   11575 init
    112       1  0.0   11575 snapfuse
    113       1  0.0   11575 snapfuse
    114       1  0.0   11575 snapfuse
    116       1  0.0   11575 snapfuse
    127       1  0.0   11575 snapfuse
    280       1  0.0   11570 agetty
    284       1  0.0   11570 agetty
    699       2  0.0   11568 SessionLeader
    700     699  0.0   11568 Relay(701)
    702       2  0.0   11568 login
    867     866  0.0   11568 (sd-pam)
    920       2  0.0   11564 SessionLeader
    921     920  0.0   11564 Relay(922)
    922     921  0.0   11564 sh
    923     922  0.0   11564 sh
    929     923  0.0   11564 sh
    945       2  0.0   11563 SessionLeader
    958       2  0.0   11563 SessionLeader
   5140     866  0.0   11101 dbus-daemon
 128937  128926  0.0      63 sh
 128964  128938  0.0      58 sh
 128995  128993  0.0      55 chrome-headless
 130630  130624  0.0       0 ps
