    PID    PPID %CPU ELAPSED COMMAND
 138280  126187  211       1 python
 126187  126180 29.3     582 python
   7817     701  6.3   11009 python3
   1021     933  2.9   11815 MainThread
   1077    1021  0.7   11813 codex
   4773    1021  0.7   11434 agy
   7292    1021  0.1   11063 MainThread
    933     929  0.1   11815 MainThread
    960     959  0.0   11815 MainThread
 137154    1077  0.0      29 python
    271       1  0.0   11822 snapd
    999     933  0.0   11815 MainThread
    959     958  0.0   11815 Relay(960)
     93       1  0.0   11826 systemd-udevd
   7291    1021  0.0   11063 MainThread
   1010     933  0.0   11815 MainThread
   2505    1077  0.0   11780 codex-code-mode
     51       1  0.0   11826 systemd-journal
    947     946  0.0   11815 MainThread
    121       1  0.0   11826 snapfuse
    310       1  0.0   11822 containerd
   7306    1021  0.0   11063 MainThread
   1049    1010  0.0   11813 MainThread
    285       1  0.0   11822 rsyslogd
    364       1  0.0   11821 dockerd
   6517    1021  0.0   11162 MainThread
   7314    7292  0.0   11062 MainThread
      1       0  0.0   11827 systemd
   1153    1021  0.0   11812 MainThread
    946     945  0.0   11815 Relay(947)
    265       1  0.0   11822 dbus-daemon
  63621    1077  0.0    3946 node-MainThread
 126180    1077  0.0     582 python
    257       1  0.0   11822 systemd-timesyn
  39668    1077  0.0    6833 node-MainThread
   2112    1077  0.0   11789 node-MainThread
    275       1  0.0   11822 wsl-pro-service
    272       1  0.0   11822 systemd-logind
    256       1  0.0   11822 systemd-resolve
    866       1  0.0   11819 systemd
    308       1  0.0   11822 unattended-upgr
    701     700  0.0   11820 bash
    880     702  0.0   11819 bash
    264       1  0.0   11822 cron
      2       1  0.0   11827 init-systemd(Ub
      6       2  0.0   11827 init
    112       1  0.0   11826 snapfuse
    113       1  0.0   11826 snapfuse
    114       1  0.0   11826 snapfuse
    116       1  0.0   11826 snapfuse
    127       1  0.0   11826 snapfuse
    280       1  0.0   11822 agetty
    284       1  0.0   11822 agetty
    699       2  0.0   11820 SessionLeader
    700     699  0.0   11820 Relay(701)
    702       2  0.0   11820 login
    867     866  0.0   11819 (sd-pam)
    920       2  0.0   11816 SessionLeader
    921     920  0.0   11816 Relay(922)
    922     921  0.0   11816 sh
    923     922  0.0   11816 sh
    929     923  0.0   11815 sh
    945       2  0.0   11815 SessionLeader
    958       2  0.0   11815 SessionLeader
   5140     866  0.0   11352 dbus-daemon
 138321    1021  0.0       0 git
 138322  137154  0.0       0 ps
