    PID    PPID %CPU ELAPSED COMMAND
 137099  126187  168       2 python
 137154    1077 66.6       0 python
 126187  126180 30.7     553 python
   7817     701  6.3   10980 python3
   1021     933  2.9   11785 MainThread
   1077    1021  0.7   11783 codex
   4773    1021  0.6   11405 agy
   7292    1021  0.1   11033 MainThread
    933     929  0.1   11786 MainThread
    960     959  0.0   11786 MainThread
    271       1  0.0   11793 snapd
    999     933  0.0   11786 MainThread
    959     958  0.0   11786 Relay(960)
     93       1  0.0   11797 systemd-udevd
   7291    1021  0.0   11033 MainThread
   1010     933  0.0   11786 MainThread
   2505    1077  0.0   11750 codex-code-mode
     51       1  0.0   11797 systemd-journal
    947     946  0.0   11786 MainThread
    121       1  0.0   11797 snapfuse
    310       1  0.0   11793 containerd
   7306    1021  0.0   11033 MainThread
   1049    1010  0.0   11784 MainThread
    285       1  0.0   11793 rsyslogd
    364       1  0.0   11792 dockerd
   6517    1021  0.0   11133 MainThread
   7314    7292  0.0   11033 MainThread
      1       0  0.0   11798 systemd
   1153    1021  0.0   11783 MainThread
    946     945  0.0   11786 Relay(947)
    265       1  0.0   11793 dbus-daemon
 126180    1077  0.0     553 python
  63621    1077  0.0    3916 node-MainThread
    257       1  0.0   11793 systemd-timesyn
  39668    1077  0.0    6803 node-MainThread
   2112    1077  0.0   11760 node-MainThread
    275       1  0.0   11793 wsl-pro-service
    272       1  0.0   11793 systemd-logind
    256       1  0.0   11793 systemd-resolve
    866       1  0.0   11790 systemd
    308       1  0.0   11793 unattended-upgr
    701     700  0.0   11791 bash
    880     702  0.0   11790 bash
    264       1  0.0   11793 cron
      2       1  0.0   11798 init-systemd(Ub
      6       2  0.0   11797 init
    112       1  0.0   11797 snapfuse
    113       1  0.0   11797 snapfuse
    114       1  0.0   11797 snapfuse
    116       1  0.0   11797 snapfuse
    127       1  0.0   11797 snapfuse
    280       1  0.0   11793 agetty
    284       1  0.0   11793 agetty
    699       2  0.0   11791 SessionLeader
    700     699  0.0   11791 Relay(701)
    702       2  0.0   11791 login
    867     866  0.0   11790 (sd-pam)
    920       2  0.0   11786 SessionLeader
    921     920  0.0   11786 Relay(922)
    922     921  0.0   11786 sh
    923     922  0.0   11786 sh
    929     923  0.0   11786 sh
    945       2  0.0   11786 SessionLeader
    958       2  0.0   11786 SessionLeader
   5140     866  0.0   11323 dbus-daemon
 137160  137154  0.0       0 ps
