    PID    PPID %CPU ELAPSED COMMAND
 102212   89705  123       3 python
 100970  100938  115      66 chrome-headless
 101363  101357 95.6      51 python
 100953  100937 92.5      66 chrome-headless
 102275    1077 36.3       0 python
  89705   89698 25.1     693 python
  90951    1021  9.9     535 git
   7817     701  8.3    8390 python3
 100809  100802  6.4      71 python
   1021     933  2.9    9196 MainThread
 100922  100809  0.9      66 MainThread
   1077    1021  0.8    9194 codex
 100935  100922  0.8      66 chrome-headless
   4773    1021  0.5    8815 agy
 100955  100935  0.5      66 chrome-headless
    933     929  0.1    9197 MainThread
   7292    1021  0.1    8444 MainThread
    960     959  0.1    9196 MainThread
    271       1  0.0    9203 snapd
     93       1  0.0    9208 systemd-udevd
    999     933  0.0    9196 MainThread
    959     958  0.0    9196 Relay(960)
   7291    1021  0.0    8444 MainThread
   1010     933  0.0    9196 MainThread
 100802    1077  0.0      71 python
 101334    1077  0.0      51 codex-linux-san
   2505    1077  0.0    9161 codex-code-mode
    121       1  0.0    9208 snapfuse
     51       1  0.0    9208 systemd-journal
 100937  100935  0.0      66 chrome-headless
    947     946  0.0    9196 MainThread
    310       1  0.0    9203 containerd
   1049    1010  0.0    9195 MainThread
   7306    1021  0.0    8444 MainThread
    285       1  0.0    9203 rsyslogd
    364       1  0.0    9203 dockerd
   6517    1021  0.0    8544 MainThread
   7314    7292  0.0    8444 MainThread
      1       0  0.0    9209 systemd
   1153    1021  0.0    9193 MainThread
    946     945  0.0    9196 Relay(947)
  63621    1077  0.0    1327 node-MainThread
  89698    1077  0.0     693 python
    265       1  0.0    9203 dbus-daemon
    257       1  0.0    9203 systemd-timesyn
  39668    1077  0.0    4214 node-MainThread
   2112    1077  0.0    9170 node-MainThread
    275       1  0.0    9203 wsl-pro-service
    272       1  0.0    9203 systemd-logind
    256       1  0.0    9203 systemd-resolve
    866       1  0.0    9201 systemd
    308       1  0.0    9203 unattended-upgr
    701     700  0.0    9201 bash
    880     702  0.0    9201 bash
      2       1  0.0    9209 init-systemd(Ub
      6       2  0.0    9208 init
    112       1  0.0    9208 snapfuse
    113       1  0.0    9208 snapfuse
    114       1  0.0    9208 snapfuse
    116       1  0.0    9208 snapfuse
    127       1  0.0    9208 snapfuse
    264       1  0.0    9203 cron
    280       1  0.0    9203 agetty
    284       1  0.0    9203 agetty
    699       2  0.0    9201 SessionLeader
    700     699  0.0    9201 Relay(701)
    702       2  0.0    9201 login
    867     866  0.0    9201 (sd-pam)
    920       2  0.0    9197 SessionLeader
    921     920  0.0    9197 Relay(922)
    922     921  0.0    9197 sh
    923     922  0.0    9197 sh
    929     923  0.0    9197 sh
    945       2  0.0    9196 SessionLeader
    958       2  0.0    9196 SessionLeader
   5140     866  0.0    8734 dbus-daemon
 100938  100935  0.0      66 chrome-headless
 101355  101334  0.0      51 bwrap
 101356  101355  0.0      51 codex
 101357  101356  0.0      51 bash
 102289  102275  0.0       0 ps
