    PID    PPID %CPU ELAPSED COMMAND
 100970  100938  294     252 chrome-headless
 106439  104725  128      25 chrome-headless
 100953  100937  100     252 chrome-headless
 107448   89705 87.2       4 python
 104741  104724 80.5      69 chrome-headless
  89705   89698 20.0     880 python
 107538  107532 10.1       1 python
  90951    1021  9.2     721 git
   7817     701  8.1    8577 python3
 104621  104614  7.6      74 python
   1021     933  3.0    9382 MainThread
 104722  104706  2.1      69 chrome-headless
 100809  100802  1.8     258 python
 104706  104621  1.7      69 MainThread
 104743  104722  1.4      69 chrome-headless
   1077    1021  0.8    9380 codex
   4773    1021  0.6    9002 agy
 107509    1077  0.6       1 codex-linux-san
 100922  100809  0.3     252 MainThread
 100935  100922  0.2     252 chrome-headless
 100955  100935  0.1     252 chrome-headless
    933     929  0.1    9383 MainThread
   7292    1021  0.1    8630 MainThread
    960     959  0.1    9383 MainThread
    271       1  0.0    9390 snapd
 104614    1077  0.0      74 python
     93       1  0.0    9394 systemd-udevd
    999     933  0.0    9383 MainThread
    959     958  0.0    9383 Relay(960)
   7291    1021  0.0    8630 MainThread
   1010     933  0.0    9382 MainThread
 102566    1077  0.0     163 python
   2505    1077  0.0    9347 codex-code-mode
     51       1  0.0    9394 systemd-journal
    121       1  0.0    9394 snapfuse
    947     946  0.0    9383 MainThread
 104724  104722  0.0      69 chrome-headless
 104725  104722  0.0      69 chrome-headless
    310       1  0.0    9389 containerd
   1049    1010  0.0    9381 MainThread
   7306    1021  0.0    8630 MainThread
    285       1  0.0    9390 rsyslogd
    364       1  0.0    9389 dockerd
 100802    1077  0.0     258 python
   6517    1021  0.0    8730 MainThread
   7314    7292  0.0    8630 MainThread
      1       0  0.0    9395 systemd
   1153    1021  0.0    9380 MainThread
 100937  100935  0.0     252 chrome-headless
    946     945  0.0    9383 Relay(947)
  63621    1077  0.0    1513 node-MainThread
  89698    1077  0.0     880 python
    265       1  0.0    9390 dbus-daemon
    257       1  0.0    9390 systemd-timesyn
  39668    1077  0.0    4400 node-MainThread
   2112    1077  0.0    9357 node-MainThread
    275       1  0.0    9390 wsl-pro-service
    272       1  0.0    9390 systemd-logind
    256       1  0.0    9390 systemd-resolve
    866       1  0.0    9387 systemd
    308       1  0.0    9390 unattended-upgr
    701     700  0.0    9387 bash
    880     702  0.0    9387 bash
      2       1  0.0    9395 init-systemd(Ub
      6       2  0.0    9394 init
    112       1  0.0    9394 snapfuse
    113       1  0.0    9394 snapfuse
    114       1  0.0    9394 snapfuse
    116       1  0.0    9394 snapfuse
    127       1  0.0    9394 snapfuse
    264       1  0.0    9390 cron
    280       1  0.0    9390 agetty
    284       1  0.0    9390 agetty
    699       2  0.0    9387 SessionLeader
    700     699  0.0    9387 Relay(701)
    702       2  0.0    9387 login
    867     866  0.0    9387 (sd-pam)
    920       2  0.0    9383 SessionLeader
    921     920  0.0    9383 Relay(922)
    922     921  0.0    9383 sh
    923     922  0.0    9383 sh
    929     923  0.0    9383 sh
    945       2  0.0    9383 SessionLeader
    958       2  0.0    9383 SessionLeader
   5140     866  0.0    8920 dbus-daemon
 100938  100935  0.0     252 chrome-headless
 107527  107509  0.0       1 bwrap
 107530  107527  0.0       1 codex
 107532  107530  0.0       1 bash
 107580  102566  0.0       0 ps
