    PID    PPID %CPU ELAPSED COMMAND
 100970  100938  115      89 chrome-headless
 100953  100937 94.9      89 chrome-headless
 102468   89705 78.2       4 python
 102566    1077 44.4       0 python
  89705   89698 24.3     716 python
 102541    1021 23.0       1 git
  90951    1021  9.7     558 git
   7817     701  8.2    8414 python3
 100809  100802  4.8      94 python
 102540    1021  3.6       1 git
   1021     933  2.9    9219 MainThread
   1077    1021  0.8    9217 codex
 100922  100809  0.7      89 MainThread
 100935  100922  0.6      89 chrome-headless
   4773    1021  0.5    8838 agy
 100955  100935  0.3      89 chrome-headless
    933     929  0.1    9220 MainThread
   7292    1021  0.1    8467 MainThread
    960     959  0.1    9219 MainThread
    271       1  0.0    9226 snapd
     93       1  0.0    9231 systemd-udevd
    999     933  0.0    9219 MainThread
    959     958  0.0    9219 Relay(960)
   7291    1021  0.0    8467 MainThread
   1010     933  0.0    9219 MainThread
 100802    1077  0.0      94 python
   2505    1077  0.0    9184 codex-code-mode
    121       1  0.0    9231 snapfuse
     51       1  0.0    9231 systemd-journal
    947     946  0.0    9219 MainThread
 100937  100935  0.0      89 chrome-headless
    310       1  0.0    9226 containerd
   1049    1010  0.0    9218 MainThread
   7306    1021  0.0    8467 MainThread
    285       1  0.0    9226 rsyslogd
    364       1  0.0    9226 dockerd
   6517    1021  0.0    8567 MainThread
   7314    7292  0.0    8467 MainThread
      1       0  0.0    9232 systemd
   1153    1021  0.0    9217 MainThread
    946     945  0.0    9219 Relay(947)
  63621    1077  0.0    1350 node-MainThread
  89698    1077  0.0     716 python
    265       1  0.0    9226 dbus-daemon
    257       1  0.0    9226 systemd-timesyn
  39668    1077  0.0    4237 node-MainThread
   2112    1077  0.0    9193 node-MainThread
    275       1  0.0    9226 wsl-pro-service
    272       1  0.0    9226 systemd-logind
    256       1  0.0    9226 systemd-resolve
    866       1  0.0    9224 systemd
    308       1  0.0    9226 unattended-upgr
    701     700  0.0    9224 bash
    880     702  0.0    9224 bash
      2       1  0.0    9232 init-systemd(Ub
      6       2  0.0    9231 init
    112       1  0.0    9231 snapfuse
    113       1  0.0    9231 snapfuse
    114       1  0.0    9231 snapfuse
    116       1  0.0    9231 snapfuse
    127       1  0.0    9231 snapfuse
    264       1  0.0    9226 cron
    280       1  0.0    9226 agetty
    284       1  0.0    9226 agetty
    699       2  0.0    9224 SessionLeader
    700     699  0.0    9224 Relay(701)
    702       2  0.0    9224 login
    867     866  0.0    9224 (sd-pam)
    920       2  0.0    9220 SessionLeader
    921     920  0.0    9220 Relay(922)
    922     921  0.0    9220 sh
    923     922  0.0    9220 sh
    929     923  0.0    9220 sh
    945       2  0.0    9219 SessionLeader
    958       2  0.0    9219 SessionLeader
   5140     866  0.0    8757 dbus-daemon
 100938  100935  0.0      89 chrome-headless
 102572  102566  0.0       0 ps
