    PID    PPID %CPU ELAPSED COMMAND
 147476    1077 28.5       0 python
   7817     701  6.0   11652 python3
   1021     933  2.9   12457 MainThread
   1077    1021  0.7   12455 codex
   4773    1021  0.7   12077 agy
   7292    1021  0.1   11705 MainThread
    933     929  0.1   12458 MainThread
    960     959  0.0   12457 MainThread
    271       1  0.0   12464 snapd
    959     958  0.0   12457 Relay(960)
    999     933  0.0   12457 MainThread
     93       1  0.0   12469 systemd-udevd
   7291    1021  0.0   11705 MainThread
   1010     933  0.0   12457 MainThread
   2505    1077  0.0   12422 codex-code-mode
     51       1  0.0   12469 systemd-journal
    947     946  0.0   12457 MainThread
    121       1  0.0   12469 snapfuse
    310       1  0.0   12464 containerd
   7306    1021  0.0   11705 MainThread
    285       1  0.0   12464 rsyslogd
   1049    1010  0.0   12456 MainThread
    364       1  0.0   12464 dockerd
   6517    1021  0.0   11805 MainThread
   7314    7292  0.0   11705 MainThread
      1       0  0.0   12470 systemd
   1153    1021  0.0   12455 MainThread
    946     945  0.0   12457 Relay(947)
    265       1  0.0   12464 dbus-daemon
  63621    1077  0.0    4588 node-MainThread
    257       1  0.0   12464 systemd-timesyn
  39668    1077  0.0    7475 node-MainThread
   2112    1077  0.0   12431 node-MainThread
    275       1  0.0   12464 wsl-pro-service
    272       1  0.0   12464 systemd-logind
    256       1  0.0   12464 systemd-resolve
    866       1  0.0   12462 systemd
    308       1  0.0   12464 unattended-upgr
    701     700  0.0   12462 bash
    880     702  0.0   12462 bash
    264       1  0.0   12464 cron
      2       1  0.0   12470 init-systemd(Ub
      6       2  0.0   12469 init
    112       1  0.0   12469 snapfuse
    113       1  0.0   12469 snapfuse
    114       1  0.0   12469 snapfuse
    116       1  0.0   12469 snapfuse
    127       1  0.0   12469 snapfuse
    280       1  0.0   12464 agetty
    284       1  0.0   12464 agetty
    699       2  0.0   12462 SessionLeader
    700     699  0.0   12462 Relay(701)
    702       2  0.0   12462 login
    867     866  0.0   12462 (sd-pam)
    920       2  0.0   12458 SessionLeader
    921     920  0.0   12458 Relay(922)
    922     921  0.0   12458 sh
    923     922  0.0   12458 sh
    929     923  0.0   12458 sh
    945       2  0.0   12457 SessionLeader
    958       2  0.0   12457 SessionLeader
   5140     866  0.0   11995 dbus-daemon
 147482  147476  0.0       0 ps
