    PID    PPID %CPU ELAPSED COMMAND
 111115   89705 28.1      15 python
  89705   89698 20.5    1168 python
  90951    1021  9.3    1009 git
   7817     701  7.8    8865 python3
   1021     933  3.0    9671 MainThread
   1077    1021  0.8    9669 codex
   4773    1021  0.6    9290 agy
    933     929  0.1    9672 MainThread
   7292    1021  0.1    8919 MainThread
    960     959  0.1    9671 MainThread
    271       1  0.0    9678 snapd
     93       1  0.0    9682 systemd-udevd
    999     933  0.0    9671 MainThread
    959     958  0.0    9671 Relay(960)
   7291    1021  0.0    8919 MainThread
   1010     933  0.0    9671 MainThread
   2505    1077  0.0    9636 codex-code-mode
     51       1  0.0    9682 systemd-journal
    121       1  0.0    9682 snapfuse
    947     946  0.0    9671 MainThread
    310       1  0.0    9678 containerd
   1049    1010  0.0    9669 MainThread
   7306    1021  0.0    8919 MainThread
    285       1  0.0    9678 rsyslogd
    364       1  0.0    9677 dockerd
   6517    1021  0.0    9019 MainThread
   7314    7292  0.0    8919 MainThread
      1       0  0.0    9683 systemd
   1153    1021  0.0    9668 MainThread
 100802    1077  0.0     546 python
    946     945  0.0    9671 Relay(947)
  63621    1077  0.0    1802 node-MainThread
    265       1  0.0    9678 dbus-daemon
  89698    1077  0.0    1168 python
  39668    1077  0.0    4689 node-MainThread
    257       1  0.0    9678 systemd-timesyn
   2112    1077  0.0    9645 node-MainThread
    275       1  0.0    9678 wsl-pro-service
    272       1  0.0    9678 systemd-logind
    256       1  0.0    9678 systemd-resolve
    866       1  0.0    9675 systemd
    308       1  0.0    9678 unattended-upgr
    701     700  0.0    9676 bash
    880     702  0.0    9675 bash
      2       1  0.0    9683 init-systemd(Ub
      6       2  0.0    9683 init
    112       1  0.0    9682 snapfuse
    113       1  0.0    9682 snapfuse
    114       1  0.0    9682 snapfuse
    116       1  0.0    9682 snapfuse
    127       1  0.0    9682 snapfuse
    264       1  0.0    9678 cron
    280       1  0.0    9678 agetty
    284       1  0.0    9678 agetty
    699       2  0.0    9676 SessionLeader
    700     699  0.0    9676 Relay(701)
    702       2  0.0    9676 login
    867     866  0.0    9675 (sd-pam)
    920       2  0.0    9672 SessionLeader
    921     920  0.0    9672 Relay(922)
    922     921  0.0    9672 sh
    923     922  0.0    9672 sh
    929     923  0.0    9672 sh
    945       2  0.0    9671 SessionLeader
    958       2  0.0    9671 SessionLeader
   5140     866  0.0    9209 dbus-daemon
 111263  100802  0.0       0 ps
