    PID    PPID %CPU ELAPSED COMMAND
  89705   89698 44.7     310 python
  90951    1021  9.0     151 git
   7817     701  8.6    8007 python3
   1021     933  2.9    8813 MainThread
   1077    1021  0.8    8811 codex
   4773    1021  0.5    8432 agy
    933     929  0.1    8814 MainThread
   7292    1021  0.1    8061 MainThread
    960     959  0.1    8813 MainThread
    271       1  0.0    8820 snapd
     93       1  0.0    8824 systemd-udevd
  92848    1077  0.0      38 python
    999     933  0.0    8813 MainThread
    959     958  0.0    8813 Relay(960)
   7291    1021  0.0    8061 MainThread
   1010     933  0.0    8813 MainThread
   2505    1077  0.0    8778 codex-code-mode
    121       1  0.0    8824 snapfuse
     51       1  0.0    8824 systemd-journal
    947     946  0.0    8813 MainThread
   1049    1010  0.0    8811 MainThread
    310       1  0.0    8820 containerd
   7306    1021  0.0    8061 MainThread
    285       1  0.0    8820 rsyslogd
    364       1  0.0    8819 dockerd
   6517    1021  0.0    8161 MainThread
   7314    7292  0.0    8061 MainThread
  89698    1077  0.0     310 python
      1       0  0.0    8825 systemd
  63621    1077  0.0     944 node-MainThread
   1153    1021  0.0    8810 MainThread
    946     945  0.0    8813 Relay(947)
    265       1  0.0    8820 dbus-daemon
  39668    1077  0.0    3831 node-MainThread
    257       1  0.0    8820 systemd-timesyn
   2112    1077  0.0    8787 node-MainThread
    272       1  0.0    8820 systemd-logind
    275       1  0.0    8820 wsl-pro-service
    256       1  0.0    8820 systemd-resolve
    866       1  0.0    8817 systemd
    308       1  0.0    8820 unattended-upgr
    701     700  0.0    8818 bash
    880     702  0.0    8817 bash
      2       1  0.0    8825 init-systemd(Ub
      6       2  0.0    8825 init
    112       1  0.0    8824 snapfuse
    113       1  0.0    8824 snapfuse
    114       1  0.0    8824 snapfuse
    116       1  0.0    8824 snapfuse
    127       1  0.0    8824 snapfuse
    264       1  0.0    8820 cron
    280       1  0.0    8820 agetty
    284       1  0.0    8820 agetty
    699       2  0.0    8818 SessionLeader
    700     699  0.0    8818 Relay(701)
    702       2  0.0    8818 login
    867     866  0.0    8817 (sd-pam)
    920       2  0.0    8814 SessionLeader
    921     920  0.0    8814 Relay(922)
    922     921  0.0    8814 sh
    923     922  0.0    8814 sh
    929     923  0.0    8814 sh
    945       2  0.0    8813 SessionLeader
    958       2  0.0    8813 SessionLeader
   5140     866  0.0    8351 dbus-daemon
  93678   92848  0.0       0 ps
