    PID    PPID %CPU ELAPSED COMMAND
  89705   89698 45.8     272 python
  92848    1077 40.0       0 python
  90951    1021  9.1     113 git
   7817     701  8.7    7969 python3
   1021     933  2.9    8774 MainThread
   1077    1021  0.8    8772 codex
   4773    1021  0.5    8394 agy
    933     929  0.1    8775 MainThread
   7292    1021  0.1    8022 MainThread
    960     959  0.1    8774 MainThread
    271       1  0.0    8781 snapd
     93       1  0.0    8786 systemd-udevd
    999     933  0.0    8774 MainThread
    959     958  0.0    8774 Relay(960)
   7291    1021  0.0    8022 MainThread
   1010     933  0.0    8774 MainThread
   2505    1077  0.0    8739 codex-code-mode
    121       1  0.0    8786 snapfuse
     51       1  0.0    8786 systemd-journal
    947     946  0.0    8774 MainThread
   1049    1010  0.0    8773 MainThread
    310       1  0.0    8781 containerd
   7306    1021  0.0    8022 MainThread
    285       1  0.0    8781 rsyslogd
    364       1  0.0    8781 dockerd
   6517    1021  0.0    8122 MainThread
  89698    1077  0.0     272 python
   7314    7292  0.0    8022 MainThread
      1       0  0.0    8787 systemd
  63621    1077  0.0     905 node-MainThread
   1153    1021  0.0    8772 MainThread
    946     945  0.0    8774 Relay(947)
    265       1  0.0    8781 dbus-daemon
  39668    1077  0.0    3792 node-MainThread
    257       1  0.0    8781 systemd-timesyn
   2112    1077  0.0    8748 node-MainThread
    272       1  0.0    8781 systemd-logind
    275       1  0.0    8781 wsl-pro-service
    256       1  0.0    8781 systemd-resolve
    866       1  0.0    8779 systemd
    308       1  0.0    8781 unattended-upgr
    701     700  0.0    8779 bash
    880     702  0.0    8779 bash
      2       1  0.0    8787 init-systemd(Ub
      6       2  0.0    8786 init
    112       1  0.0    8786 snapfuse
    113       1  0.0    8786 snapfuse
    114       1  0.0    8786 snapfuse
    116       1  0.0    8786 snapfuse
    127       1  0.0    8786 snapfuse
    264       1  0.0    8781 cron
    280       1  0.0    8781 agetty
    284       1  0.0    8781 agetty
    699       2  0.0    8779 SessionLeader
    700     699  0.0    8779 Relay(701)
    702       2  0.0    8779 login
    867     866  0.0    8779 (sd-pam)
    920       2  0.0    8775 SessionLeader
    921     920  0.0    8775 Relay(922)
    922     921  0.0    8775 sh
    923     922  0.0    8775 sh
    929     923  0.0    8775 sh
    945       2  0.0    8774 SessionLeader
    958       2  0.0    8774 SessionLeader
   5140     866  0.0    8312 dbus-daemon
  92824      93  0.0       2 (udev-worker)
  92825      93  0.0       2 (udev-worker)
  92854   92848  0.0       0 ps
