    PID    PPID %CPU ELAPSED COMMAND
 112641   89705 38.4       0 MainThread
 112769    1077 25.0       0 python
  89705   89698 22.5    1259 python
 112689  112657 20.2       0 chrome-headless
 112654  112641 16.4       0 chrome-headless
  90951    1021  9.4    1101 git
   7817     701  7.7    8957 python3
 112672  112656  5.6       0 chrome-headless
   1021     933  3.0    9762 MainThread
 112674  112654  2.8       0 chrome-headless
   1077    1021  0.8    9760 codex
   4773    1021  0.6    9381 agy
    933     929  0.1    9763 MainThread
   7292    1021  0.1    9010 MainThread
    960     959  0.1    9762 MainThread
    271       1  0.0    9769 snapd
     93       1  0.0    9774 systemd-udevd
    999     933  0.0    9762 MainThread
    959     958  0.0    9762 Relay(960)
   7291    1021  0.0    9010 MainThread
   1010     933  0.0    9762 MainThread
   2505    1077  0.0    9727 codex-code-mode
     51       1  0.0    9774 systemd-journal
    121       1  0.0    9774 snapfuse
    947     946  0.0    9762 MainThread
    310       1  0.0    9769 containerd
   1049    1010  0.0    9761 MainThread
   7306    1021  0.0    9010 MainThread
    285       1  0.0    9769 rsyslogd
    364       1  0.0    9769 dockerd
   6517    1021  0.0    9110 MainThread
   7314    7292  0.0    9010 MainThread
      1       0  0.0    9775 systemd
   1153    1021  0.0    9760 MainThread
    946     945  0.0    9762 Relay(947)
  63621    1077  0.0    1893 node-MainThread
    265       1  0.0    9769 dbus-daemon
  89698    1077  0.0    1259 python
  39668    1077  0.0    4780 node-MainThread
    257       1  0.0    9769 systemd-timesyn
   2112    1077  0.0    9736 node-MainThread
    275       1  0.0    9769 wsl-pro-service
    272       1  0.0    9769 systemd-logind
    256       1  0.0    9769 systemd-resolve
    866       1  0.0    9767 systemd
    308       1  0.0    9769 unattended-upgr
    701     700  0.0    9767 bash
    880     702  0.0    9767 bash
      2       1  0.0    9775 init-systemd(Ub
      6       2  0.0    9774 init
    112       1  0.0    9774 snapfuse
    113       1  0.0    9774 snapfuse
    114       1  0.0    9774 snapfuse
    116       1  0.0    9774 snapfuse
    127       1  0.0    9774 snapfuse
    264       1  0.0    9769 cron
    280       1  0.0    9769 agetty
    284       1  0.0    9769 agetty
    699       2  0.0    9767 SessionLeader
    700     699  0.0    9767 Relay(701)
    702       2  0.0    9767 login
    867     866  0.0    9767 (sd-pam)
    920       2  0.0    9763 SessionLeader
    921     920  0.0    9763 Relay(922)
    922     921  0.0    9763 sh
    923     922  0.0    9763 sh
    929     923  0.0    9763 sh
    945       2  0.0    9762 SessionLeader
    958       2  0.0    9762 SessionLeader
   5140     866  0.0    9300 dbus-daemon
 112656  112654  0.0       0 chrome-headless
 112657  112654  0.0       0 chrome-headless
 112775  112769  0.0       0 ps
