    PID    PPID %CPU ELAPSED COMMAND
  99452   89705  558       0 python
  89705   89698 32.1     540 python
  90951    1021 10.2     381 git
   7817     701  8.4    8237 python3
   1021     933  2.9    9042 MainThread
   1077    1021  0.8    9040 codex
   4773    1021  0.5    8662 agy
    933     929  0.1    9043 MainThread
   7292    1021  0.1    8290 MainThread
    960     959  0.1    9043 MainThread
    271       1  0.0    9050 snapd
  98585    1077  0.0      35 python
     93       1  0.0    9054 systemd-udevd
    999     933  0.0    9043 MainThread
    959     958  0.0    9043 Relay(960)
   7291    1021  0.0    8290 MainThread
   1010     933  0.0    9043 MainThread
   2505    1077  0.0    9007 codex-code-mode
    121       1  0.0    9054 snapfuse
     51       1  0.0    9054 systemd-journal
    947     946  0.0    9043 MainThread
   1049    1010  0.0    9041 MainThread
    310       1  0.0    9050 containerd
   7306    1021  0.0    8290 MainThread
    285       1  0.0    9050 rsyslogd
    364       1  0.0    9049 dockerd
   6517    1021  0.0    8390 MainThread
   7314    7292  0.0    8290 MainThread
      1       0  0.0    9055 systemd
   1153    1021  0.0    9040 MainThread
  89698    1077  0.0     540 python
    946     945  0.0    9043 Relay(947)
  63621    1077  0.0    1173 node-MainThread
    265       1  0.0    9050 dbus-daemon
  39668    1077  0.0    4060 node-MainThread
    257       1  0.0    9050 systemd-timesyn
   2112    1077  0.0    9017 node-MainThread
    272       1  0.0    9050 systemd-logind
    275       1  0.0    9050 wsl-pro-service
    256       1  0.0    9050 systemd-resolve
    866       1  0.0    9047 systemd
    308       1  0.0    9050 unattended-upgr
    701     700  0.0    9048 bash
    880     702  0.0    9047 bash
      2       1  0.0    9055 init-systemd(Ub
      6       2  0.0    9054 init
    112       1  0.0    9054 snapfuse
    113       1  0.0    9054 snapfuse
    114       1  0.0    9054 snapfuse
    116       1  0.0    9054 snapfuse
    127       1  0.0    9054 snapfuse
    264       1  0.0    9050 cron
    280       1  0.0    9050 agetty
    284       1  0.0    9050 agetty
    699       2  0.0    9048 SessionLeader
    700     699  0.0    9048 Relay(701)
    702       2  0.0    9048 login
    867     866  0.0    9047 (sd-pam)
    920       2  0.0    9043 SessionLeader
    921     920  0.0    9043 Relay(922)
    922     921  0.0    9043 sh
    923     922  0.0    9043 sh
    929     923  0.0    9043 sh
    945       2  0.0    9043 SessionLeader
    958       2  0.0    9043 SessionLeader
   5140     866  0.0    8580 dbus-daemon
  99491   98585  0.0       0 ps
