    PID    PPID %CPU ELAPSED COMMAND
  98530   89705  270       1 python
  89705   89698 34.4     504 python
  98585    1077 33.3       0 python
  90951    1021 10.5     345 git
   7817     701  8.4    8201 python3
   1021     933  2.9    9007 MainThread
   1077    1021  0.8    9005 codex
   4773    1021  0.5    8626 agy
    933     929  0.1    9008 MainThread
   7292    1021  0.1    8255 MainThread
    960     959  0.1    9007 MainThread
    271       1  0.0    9014 snapd
     93       1  0.0    9018 systemd-udevd
    999     933  0.0    9007 MainThread
    959     958  0.0    9007 Relay(960)
   7291    1021  0.0    8255 MainThread
   1010     933  0.0    9007 MainThread
   2505    1077  0.0    8972 codex-code-mode
    121       1  0.0    9018 snapfuse
     51       1  0.0    9018 systemd-journal
    947     946  0.0    9007 MainThread
   1049    1010  0.0    9005 MainThread
    310       1  0.0    9014 containerd
   7306    1021  0.0    8255 MainThread
    285       1  0.0    9014 rsyslogd
    364       1  0.0    9013 dockerd
   6517    1021  0.0    8355 MainThread
   7314    7292  0.0    8255 MainThread
      1       0  0.0    9020 systemd
   1153    1021  0.0    9004 MainThread
  89698    1077  0.0     504 python
    946     945  0.0    9007 Relay(947)
  63621    1077  0.0    1138 node-MainThread
    265       1  0.0    9014 dbus-daemon
  39668    1077  0.0    4025 node-MainThread
    257       1  0.0    9014 systemd-timesyn
   2112    1077  0.0    8981 node-MainThread
    272       1  0.0    9014 systemd-logind
    275       1  0.0    9014 wsl-pro-service
    256       1  0.0    9014 systemd-resolve
    866       1  0.0    9012 systemd
    308       1  0.0    9014 unattended-upgr
    701     700  0.0    9012 bash
    880     702  0.0    9011 bash
      2       1  0.0    9019 init-systemd(Ub
      6       2  0.0    9019 init
    112       1  0.0    9018 snapfuse
    113       1  0.0    9018 snapfuse
    114       1  0.0    9018 snapfuse
    116       1  0.0    9018 snapfuse
    127       1  0.0    9018 snapfuse
    264       1  0.0    9014 cron
    280       1  0.0    9014 agetty
    284       1  0.0    9014 agetty
    699       2  0.0    9012 SessionLeader
    700     699  0.0    9012 Relay(701)
    702       2  0.0    9012 login
    867     866  0.0    9012 (sd-pam)
    920       2  0.0    9008 SessionLeader
    921     920  0.0    9008 Relay(922)
    922     921  0.0    9008 sh
    923     922  0.0    9008 sh
    929     923  0.0    9008 sh
    945       2  0.0    9007 SessionLeader
    958       2  0.0    9007 SessionLeader
   5140     866  0.0    8545 dbus-daemon
  98591   98585  0.0       0 ps
