    PID    PPID %CPU ELAPSED COMMAND
 120198    1021 19.6       1 git
  90951    1021  9.2    1730 git
 120224    1077  7.6       0 python
   7817     701  7.2    9586 python3
   1021     933  3.0   10392 MainThread
 120197    1021  2.6       1 git
   1077    1021  0.8   10389 codex
   4773    1021  0.7   10011 agy
   7292    1021  0.1    9640 MainThread
    933     929  0.1   10392 MainThread
    960     959  0.1   10392 MainThread
    271       1  0.0   10399 snapd
     93       1  0.0   10403 systemd-udevd
    959     958  0.0   10392 Relay(960)
    999     933  0.0   10392 MainThread
   7291    1021  0.0    9640 MainThread
   1010     933  0.0   10392 MainThread
   2505    1077  0.0   10357 codex-code-mode
     51       1  0.0   10403 systemd-journal
    947     946  0.0   10392 MainThread
    121       1  0.0   10403 snapfuse
    310       1  0.0   10399 containerd
   1049    1010  0.0   10390 MainThread
   7306    1021  0.0    9639 MainThread
    285       1  0.0   10399 rsyslogd
    364       1  0.0   10398 dockerd
   6517    1021  0.0    9739 MainThread
   7314    7292  0.0    9639 MainThread
      1       0  0.0   10404 systemd
   1153    1021  0.0   10389 MainThread
    946     945  0.0   10392 Relay(947)
  63621    1077  0.0    2522 node-MainThread
    265       1  0.0   10399 dbus-daemon
    257       1  0.0   10399 systemd-timesyn
  39668    1077  0.0    5409 node-MainThread
   2112    1077  0.0   10366 node-MainThread
    275       1  0.0   10399 wsl-pro-service
    272       1  0.0   10399 systemd-logind
    256       1  0.0   10399 systemd-resolve
    866       1  0.0   10396 systemd
    308       1  0.0   10399 unattended-upgr
    701     700  0.0   10397 bash
    880     702  0.0   10396 bash
    264       1  0.0   10399 cron
      2       1  0.0   10404 init-systemd(Ub
      6       2  0.0   10404 init
    112       1  0.0   10403 snapfuse
    113       1  0.0   10403 snapfuse
    114       1  0.0   10403 snapfuse
    116       1  0.0   10403 snapfuse
    127       1  0.0   10403 snapfuse
    280       1  0.0   10399 agetty
    284       1  0.0   10399 agetty
    699       2  0.0   10397 SessionLeader
    700     699  0.0   10397 Relay(701)
    702       2  0.0   10397 login
    867     866  0.0   10396 (sd-pam)
    920       2  0.0   10392 SessionLeader
    921     920  0.0   10392 Relay(922)
    922     921  0.0   10392 sh
    923     922  0.0   10392 sh
    929     923  0.0   10392 sh
    945       2  0.0   10392 SessionLeader
    958       2  0.0   10392 SessionLeader
   5140     866  0.0    9929 dbus-daemon
 120195      93  0.0       2 (udev-worker)
 120196      93  0.0       2 (udev-worker)
 120230  120224  0.0 4123168608 ps
