    PID    PPID %CPU ELAPSED COMMAND
 122049    1077 25.0       0 python
   7817     701  7.0    9858 python3
   1021     933  3.0   10663 MainThread
   1077    1021  0.8   10661 codex
   4773    1021  0.7   10283 agy
   7292    1021  0.1    9911 MainThread
    933     929  0.1   10664 MainThread
    960     959  0.0   10663 MainThread
    271       1  0.0   10670 snapd
     93       1  0.0   10675 systemd-udevd
    999     933  0.0   10663 MainThread
    959     958  0.0   10663 Relay(960)
   7291    1021  0.0    9911 MainThread
   1010     933  0.0   10663 MainThread
   2505    1077  0.0   10628 codex-code-mode
     51       1  0.0   10675 systemd-journal
    947     946  0.0   10664 MainThread
    121       1  0.0   10675 snapfuse
    310       1  0.0   10670 containerd
   1049    1010  0.0   10662 MainThread
   7306    1021  0.0    9911 MainThread
    285       1  0.0   10670 rsyslogd
    364       1  0.0   10670 dockerd
   6517    1021  0.0   10011 MainThread
   7314    7292  0.0    9911 MainThread
      1       0  0.0   10676 systemd
   1153    1021  0.0   10661 MainThread
    946     945  0.0   10664 Relay(947)
  63621    1077  0.0    2794 node-MainThread
    265       1  0.0   10670 dbus-daemon
    257       1  0.0   10671 systemd-timesyn
  39668    1077  0.0    5681 node-MainThread
   2112    1077  0.0   10638 node-MainThread
    272       1  0.0   10670 systemd-logind
    275       1  0.0   10670 wsl-pro-service
    256       1  0.0   10671 systemd-resolve
    866       1  0.0   10668 systemd
    308       1  0.0   10670 unattended-upgr
    701     700  0.0   10668 bash
    880     702  0.0   10668 bash
    264       1  0.0   10670 cron
      2       1  0.0   10676 init-systemd(Ub
      6       2  0.0   10675 init
    112       1  0.0   10675 snapfuse
    113       1  0.0   10675 snapfuse
    114       1  0.0   10675 snapfuse
    116       1  0.0   10675 snapfuse
    127       1  0.0   10675 snapfuse
    280       1  0.0   10670 agetty
    284       1  0.0   10670 agetty
    699       2  0.0   10668 SessionLeader
    700     699  0.0   10668 Relay(701)
    702       2  0.0   10668 login
    867     866  0.0   10668 (sd-pam)
    920       2  0.0   10664 SessionLeader
    921     920  0.0   10664 Relay(922)
    922     921  0.0   10664 sh
    923     922  0.0   10664 sh
    929     923  0.0   10664 sh
    945       2  0.0   10664 SessionLeader
    958       2  0.0   10663 SessionLeader
   5140     866  0.0   10201 dbus-daemon
 122025      93  0.0       2 (udev-worker)
 122026      93  0.0       2 (udev-worker)
 122055  122049  0.0       0 ps
