    PID    PPID %CPU ELAPSED COMMAND
 126187  126180 85.9      98 python
   7817     701  6.6   10526 python3
   1021     933  2.9   11331 MainThread
   1077    1021  0.7   11329 codex
   4773    1021  0.7   10951 agy
   7292    1021  0.1   10579 MainThread
    933     929  0.1   11332 MainThread
    960     959  0.0   11331 MainThread
    271       1  0.0   11338 snapd
    999     933  0.0   11331 MainThread
    959     958  0.0   11331 Relay(960)
     93       1  0.0   11343 systemd-udevd
   7291    1021  0.0   10579 MainThread
   1010     933  0.0   11331 MainThread
   2505    1077  0.0   11296 codex-code-mode
 125826    1077  0.0     104 python
     51       1  0.0   11343 systemd-journal
    947     946  0.0   11332 MainThread
    121       1  0.0   11343 snapfuse
    310       1  0.0   11338 containerd
 126180    1077  0.0      99 python
   7306    1021  0.0   10579 MainThread
   1049    1010  0.0   11330 MainThread
    285       1  0.0   11338 rsyslogd
    364       1  0.0   11338 dockerd
   6517    1021  0.0   10679 MainThread
   7314    7292  0.0   10579 MainThread
      1       0  0.0   11344 systemd
   1153    1021  0.0   11329 MainThread
    946     945  0.0   11332 Relay(947)
  63621    1077  0.0    3462 node-MainThread
    265       1  0.0   11338 dbus-daemon
    257       1  0.0   11339 systemd-timesyn
  39668    1077  0.0    6349 node-MainThread
   2112    1077  0.0   11306 node-MainThread
    272       1  0.0   11338 systemd-logind
    275       1  0.0   11338 wsl-pro-service
    256       1  0.0   11339 systemd-resolve
    866       1  0.0   11336 systemd
    308       1  0.0   11338 unattended-upgr
    701     700  0.0   11336 bash
    880     702  0.0   11336 bash
    264       1  0.0   11338 cron
      2       1  0.0   11344 init-systemd(Ub
      6       2  0.0   11343 init
    112       1  0.0   11343 snapfuse
    113       1  0.0   11343 snapfuse
    114       1  0.0   11343 snapfuse
    116       1  0.0   11343 snapfuse
    127       1  0.0   11343 snapfuse
    280       1  0.0   11338 agetty
    284       1  0.0   11338 agetty
    699       2  0.0   11336 SessionLeader
    700     699  0.0   11336 Relay(701)
    702       2  0.0   11336 login
    867     866  0.0   11336 (sd-pam)
    920       2  0.0   11332 SessionLeader
    921     920  0.0   11332 Relay(922)
    922     921  0.0   11332 sh
    923     922  0.0   11332 sh
    929     923  0.0   11332 sh
    945       2  0.0   11332 SessionLeader
    958       2  0.0   11331 SessionLeader
   5140     866  0.0   10869 dbus-daemon
 127034      93  0.0       1 (udev-worker)
 127035      93  0.0       1 (udev-worker)
 127042  125826  0.0       0 ps
