    PID    PPID %CPU ELAPSED COMMAND
 125826    1077 25.0       0 python
   7817     701  6.7   10422 python3
   1021     933  3.0   11227 MainThread
   1077    1021  0.7   11225 codex
   4773    1021  0.7   10847 agy
   7292    1021  0.1   10475 MainThread
    933     929  0.1   11228 MainThread
    960     959  0.0   11227 MainThread
    271       1  0.0   11234 snapd
    999     933  0.0   11227 MainThread
    959     958  0.0   11227 Relay(960)
     93       1  0.0   11239 systemd-udevd
   7291    1021  0.0   10475 MainThread
   1010     933  0.0   11227 MainThread
   2505    1077  0.0   11192 codex-code-mode
     51       1  0.0   11239 systemd-journal
    947     946  0.0   11228 MainThread
    121       1  0.0   11239 snapfuse
    310       1  0.0   11234 containerd
   7306    1021  0.0   10475 MainThread
   1049    1010  0.0   11226 MainThread
    285       1  0.0   11234 rsyslogd
    364       1  0.0   11234 dockerd
   6517    1021  0.0   10575 MainThread
   7314    7292  0.0   10475 MainThread
      1       0  0.0   11240 systemd
   1153    1021  0.0   11225 MainThread
    946     945  0.0   11228 Relay(947)
  63621    1077  0.0    3358 node-MainThread
    265       1  0.0   11234 dbus-daemon
    257       1  0.0   11235 systemd-timesyn
  39668    1077  0.0    6245 node-MainThread
   2112    1077  0.0   11202 node-MainThread
    272       1  0.0   11234 systemd-logind
    275       1  0.0   11234 wsl-pro-service
    256       1  0.0   11235 systemd-resolve
    866       1  0.0   11232 systemd
    308       1  0.0   11234 unattended-upgr
    701     700  0.0   11232 bash
    880     702  0.0   11232 bash
    264       1  0.0   11234 cron
      2       1  0.0   11240 init-systemd(Ub
      6       2  0.0   11239 init
    112       1  0.0   11239 snapfuse
    113       1  0.0   11239 snapfuse
    114       1  0.0   11239 snapfuse
    116       1  0.0   11239 snapfuse
    127       1  0.0   11239 snapfuse
    280       1  0.0   11234 agetty
    284       1  0.0   11234 agetty
    699       2  0.0   11232 SessionLeader
    700     699  0.0   11232 Relay(701)
    702       2  0.0   11232 login
    867     866  0.0   11232 (sd-pam)
    920       2  0.0   11228 SessionLeader
    921     920  0.0   11228 Relay(922)
    922     921  0.0   11228 sh
    923     922  0.0   11228 sh
    929     923  0.0   11228 sh
    945       2  0.0   11228 SessionLeader
    958       2  0.0   11227 SessionLeader
   5140     866  0.0   10765 dbus-daemon
 125832      93  0.0       0 (udev-worker)
 125833      93  0.0       0 (udev-worker)
 125834  125826  0.0       0 ps
