    PID    PPID %CPU ELAPSED COMMAND
  61303    1021 11.8    1050 git
   7817     701  9.0    7667 python3
  83535   83519  4.6      27 node-MainThread
   1021     933  3.0    8472 MainThread
   1077    1021  0.8    8470 codex
   4773    1021  0.5    8092 agy
    933     929  0.1    8473 MainThread
   7292    1021  0.1    7720 MainThread
    960     959  0.1    8473 MainThread
    271       1  0.0    8480 snapd
  83519    1077  0.0      27 python
     93       1  0.0    8484 systemd-udevd
    999     933  0.0    8473 MainThread
    959     958  0.0    8473 Relay(960)
   7291    1021  0.0    7720 MainThread
   1010     933  0.0    8472 MainThread
  69688    1077  0.0      91 python
   2505    1077  0.0    8437 codex-code-mode
    121       1  0.0    8484 snapfuse
     51       1  0.0    8484 systemd-journal
    947     946  0.0    8473 MainThread
   1049    1010  0.0    8471 MainThread
    310       1  0.0    8480 containerd
   7306    1021  0.0    7720 MainThread
    285       1  0.0    8480 rsyslogd
    364       1  0.0    8479 dockerd
   6517    1021  0.0    7820 MainThread
   7314    7292  0.0    7720 MainThread
  63621    1077  0.0     603 node-MainThread
      1       0  0.0    8485 systemd
   1153    1021  0.0    8470 MainThread
    946     945  0.0    8473 Relay(947)
    265       1  0.0    8480 dbus-daemon
  39668    1077  0.0    3490 node-MainThread
    257       1  0.0    8480 systemd-timesyn
   2112    1077  0.0    8447 node-MainThread
    272       1  0.0    8480 systemd-logind
    275       1  0.0    8480 wsl-pro-service
    256       1  0.0    8480 systemd-resolve
    866       1  0.0    8477 systemd
    308       1  0.0    8480 unattended-upgr
    701     700  0.0    8477 bash
    880     702  0.0    8477 bash
      2       1  0.0    8485 init-systemd(Ub
      6       2  0.0    8484 init
    112       1  0.0    8484 snapfuse
    113       1  0.0    8484 snapfuse
    114       1  0.0    8484 snapfuse
    116       1  0.0    8484 snapfuse
    127       1  0.0    8484 snapfuse
    264       1  0.0    8480 cron
    280       1  0.0    8480 agetty
    284       1  0.0    8480 agetty
    699       2  0.0    8477 SessionLeader
    700     699  0.0    8477 Relay(701)
    702       2  0.0    8477 login
    867     866  0.0    8477 (sd-pam)
    920       2  0.0    8473 SessionLeader
    921     920  0.0    8473 Relay(922)
    922     921  0.0    8473 sh
    923     922  0.0    8473 sh
    929     923  0.0    8473 sh
    945       2  0.0    8473 SessionLeader
    958       2  0.0    8473 SessionLeader
   5140     866  0.0    8010 dbus-daemon
  89425   69688  0.0       0 ps
