    PID    PPID %CPU ELAPSED COMMAND
  69688    1077 40.0       0 python
  61303    1021 12.4     959 git
   7817     701  9.1    7575 python3
  69476   67282  4.2      29 python
   1021     933  3.0    8381 MainThread
  67282   67244  1.1      52 python
   1077    1021  0.7    8379 codex
   4773    1021  0.5    8000 agy
    933     929  0.1    8382 MainThread
   7292    1021  0.1    7629 MainThread
    960     959  0.1    8381 MainThread
    271       1  0.0    8388 snapd
     93       1  0.0    8392 systemd-udevd
    999     933  0.0    8381 MainThread
    959     958  0.0    8381 Relay(960)
   7291    1021  0.0    7629 MainThread
   1010     933  0.0    8381 MainThread
  67244   67240  0.0      52 python
  67226    1077  0.0      52 codex-linux-san
   2505    1077  0.0    8346 codex-code-mode
    121       1  0.0    8392 snapfuse
     51       1  0.0    8392 systemd-journal
    947     946  0.0    8381 MainThread
   1049    1010  0.0    8379 MainThread
    310       1  0.0    8388 containerd
   7306    1021  0.0    7629 MainThread
    285       1  0.0    8388 rsyslogd
    364       1  0.0    8387 dockerd
   6517    1021  0.0    7729 MainThread
  63621    1077  0.0     512 node-MainThread
   7314    7292  0.0    7629 MainThread
      1       0  0.0    8393 systemd
   1153    1021  0.0    8378 MainThread
    946     945  0.0    8381 Relay(947)
    265       1  0.0    8388 dbus-daemon
  39668    1077  0.0    3399 node-MainThread
    257       1  0.0    8388 systemd-timesyn
   2112    1077  0.0    8355 node-MainThread
    272       1  0.0    8388 systemd-logind
    275       1  0.0    8388 wsl-pro-service
    256       1  0.0    8388 systemd-resolve
    866       1  0.0    8385 systemd
    308       1  0.0    8388 unattended-upgr
    701     700  0.0    8386 bash
    880     702  0.0    8385 bash
      2       1  0.0    8393 init-systemd(Ub
      6       2  0.0    8393 init
    112       1  0.0    8392 snapfuse
    113       1  0.0    8392 snapfuse
    114       1  0.0    8392 snapfuse
    116       1  0.0    8392 snapfuse
    127       1  0.0    8392 snapfuse
    264       1  0.0    8388 cron
    280       1  0.0    8388 agetty
    284       1  0.0    8388 agetty
    699       2  0.0    8386 SessionLeader
    700     699  0.0    8386 Relay(701)
    702       2  0.0    8386 login
    867     866  0.0    8385 (sd-pam)
    920       2  0.0    8382 SessionLeader
    921     920  0.0    8382 Relay(922)
    922     921  0.0    8382 sh
    923     922  0.0    8382 sh
    929     923  0.0    8382 sh
    945       2  0.0    8381 SessionLeader
    958       2  0.0    8381 SessionLeader
   5140     866  0.0    7919 dbus-daemon
  67239   67226  0.0      52 bwrap
  67240   67239  0.0      52 codex
  69694   69688  0.0       0 ps
