    PID    PPID %CPU ELAPSED COMMAND
 102083   89705  141       2 python
 100970  100938  115      60 chrome-headless
 101363  101357 95.2      45 python
 100953  100937 92.3      60 chrome-headless
 102144    1077 40.0       0 python
  89705   89698 25.3     687 python
  90951    1021  9.9     528 git
   7817     701  8.3    8384 python3
 100809  100802  7.0      65 python
   1021     933  2.9    9190 MainThread
 100922  100809  1.0      60 MainThread
 100935  100922  0.8      60 chrome-headless
   1077    1021  0.8    9188 codex
   4773    1021  0.5    8809 agy
 100955  100935  0.5      60 chrome-headless
    933     929  0.1    9191 MainThread
   7292    1021  0.1    8438 MainThread
    960     959  0.1    9190 MainThread
    271       1  0.0    9197 snapd
     93       1  0.0    9201 systemd-udevd
    999     933  0.0    9190 MainThread
    959     958  0.0    9190 Relay(960)
   7291    1021  0.0    8438 MainThread
 100802    1077  0.0      65 python
   1010     933  0.0    9190 MainThread
 101334    1077  0.0      45 codex-linux-san
   2505    1077  0.0    9155 codex-code-mode
 100937  100935  0.0      60 chrome-headless
    121       1  0.0    9201 snapfuse
     51       1  0.0    9201 systemd-journal
    947     946  0.0    9190 MainThread
   1049    1010  0.0    9188 MainThread
    310       1  0.0    9197 containerd
   7306    1021  0.0    8438 MainThread
    285       1  0.0    9197 rsyslogd
    364       1  0.0    9196 dockerd
   6517    1021  0.0    8538 MainThread
   7314    7292  0.0    8438 MainThread
      1       0  0.0    9203 systemd
   1153    1021  0.0    9187 MainThread
    946     945  0.0    9190 Relay(947)
  63621    1077  0.0    1321 node-MainThread
  89698    1077  0.0     687 python
    265       1  0.0    9197 dbus-daemon
    257       1  0.0    9197 systemd-timesyn
  39668    1077  0.0    4208 node-MainThread
   2112    1077  0.0    9164 node-MainThread
    275       1  0.0    9197 wsl-pro-service
    272       1  0.0    9197 systemd-logind
    256       1  0.0    9197 systemd-resolve
    866       1  0.0    9195 systemd
    308       1  0.0    9197 unattended-upgr
    701     700  0.0    9195 bash
    880     702  0.0    9194 bash
      2       1  0.0    9202 init-systemd(Ub
      6       2  0.0    9202 init
    112       1  0.0    9201 snapfuse
    113       1  0.0    9201 snapfuse
    114       1  0.0    9201 snapfuse
    116       1  0.0    9201 snapfuse
    127       1  0.0    9201 snapfuse
    264       1  0.0    9197 cron
    280       1  0.0    9197 agetty
    284       1  0.0    9197 agetty
    699       2  0.0    9195 SessionLeader
    700     699  0.0    9195 Relay(701)
    702       2  0.0    9195 login
    867     866  0.0    9195 (sd-pam)
    920       2  0.0    9191 SessionLeader
    921     920  0.0    9191 Relay(922)
    922     921  0.0    9191 sh
    923     922  0.0    9191 sh
    929     923  0.0    9191 sh
    945       2  0.0    9190 SessionLeader
    958       2  0.0    9190 SessionLeader
   5140     866  0.0    8728 dbus-daemon
 100938  100935  0.0      60 chrome-headless
 101355  101334  0.0      45 bwrap
 101356  101355  0.0      45 codex
 101357  101356  0.0      45 bash
 102150  102144  0.0       0 ps
