    PID    PPID %CPU ELAPSED COMMAND
 107747   89705  364       0 python
 100970  100938  298     264 chrome-headless
 100953  100937  100     265 chrome-headless
  89705   89698 19.7     892 python
  90951    1021  9.6     733 git
   7817     701  8.1    8589 python3
 107538  107532  7.7      13 python
   1021     933  3.0    9395 MainThread
 100809  100802  1.7     270 python
   1077    1021  0.8    9393 codex
   4773    1021  0.6    9014 agy
 100922  100809  0.3     265 MainThread
 100935  100922  0.2     265 chrome-headless
    933     929  0.1    9396 MainThread
 100955  100935  0.1     265 chrome-headless
   7292    1021  0.1    8643 MainThread
    960     959  0.1    9395 MainThread
    271       1  0.0    9402 snapd
 107509    1077  0.0      14 codex-linux-san
     93       1  0.0    9406 systemd-udevd
    999     933  0.0    9395 MainThread
    959     958  0.0    9395 Relay(960)
 104614    1077  0.0      87 python
   7291    1021  0.0    8643 MainThread
   1010     933  0.0    9395 MainThread
   2505    1077  0.0    9360 codex-code-mode
     51       1  0.0    9406 systemd-journal
    121       1  0.0    9406 snapfuse
    947     946  0.0    9395 MainThread
    310       1  0.0    9402 containerd
   1049    1010  0.0    9393 MainThread
   7306    1021  0.0    8643 MainThread
    285       1  0.0    9402 rsyslogd
    364       1  0.0    9401 dockerd
   6517    1021  0.0    8743 MainThread
 100802    1077  0.0     270 python
   7314    7292  0.0    8643 MainThread
      1       0  0.0    9407 systemd
   1153    1021  0.0    9392 MainThread
 100937  100935  0.0     265 chrome-headless
    946     945  0.0    9395 Relay(947)
  63621    1077  0.0    1526 node-MainThread
  89698    1077  0.0     892 python
    265       1  0.0    9402 dbus-daemon
    257       1  0.0    9402 systemd-timesyn
  39668    1077  0.0    4413 node-MainThread
   2112    1077  0.0    9369 node-MainThread
    275       1  0.0    9402 wsl-pro-service
    272       1  0.0    9402 systemd-logind
    256       1  0.0    9402 systemd-resolve
    866       1  0.0    9400 systemd
    308       1  0.0    9402 unattended-upgr
    701     700  0.0    9400 bash
    880     702  0.0    9399 bash
      2       1  0.0    9407 init-systemd(Ub
      6       2  0.0    9407 init
    112       1  0.0    9406 snapfuse
    113       1  0.0    9406 snapfuse
    114       1  0.0    9406 snapfuse
    116       1  0.0    9406 snapfuse
    127       1  0.0    9406 snapfuse
    264       1  0.0    9402 cron
    280       1  0.0    9402 agetty
    284       1  0.0    9402 agetty
    699       2  0.0    9400 SessionLeader
    700     699  0.0    9400 Relay(701)
    702       2  0.0    9400 login
    867     866  0.0    9399 (sd-pam)
    920       2  0.0    9396 SessionLeader
    921     920  0.0    9396 Relay(922)
    922     921  0.0    9396 sh
    923     922  0.0    9396 sh
    929     923  0.0    9396 sh
    945       2  0.0    9395 SessionLeader
    958       2  0.0    9395 SessionLeader
   5140     866  0.0    8933 dbus-daemon
 100938  100935  0.0     265 chrome-headless
 107527  107509  0.0      13 bwrap
 107530  107527  0.0      13 codex
 107532  107530  0.0      13 bash
 107786  104614  0.0       0 ps
