    PID    PPID %CPU ELAPSED COMMAND
 100970  100938  239     177 chrome-headless
 104151  104084  118      20 chrome-headless
 103221  102703  110      73 chrome-headless
 104557   89705  107       3 python
 100953  100937 98.7     177 chrome-headless
 104614    1077 57.1       0 python
  89705   89698 21.8     805 python
 103777  103769 16.5      47 python
 104068  103777 12.1      21 MainThread
 102719  102702 10.1      82 chrome-headless
  90951    1021  9.3     646 git
   7817     701  8.2    8502 python3
 104081  104068  3.9      20 chrome-headless
   1021     933  3.0    9308 MainThread
 100809  100802  2.5     183 python
 104102  104081  2.5      20 chrome-headless
 102681  102573  1.1      84 node-MainThread
 102573  102566  0.9      88 node-MainThread
   1077    1021  0.8    9306 codex
 102700  102681  0.7      82 chrome-headless
 104100  104083  0.6      20 chrome-headless
 102641  102640  0.5      85 python3
   4773    1021  0.5    8927 agy
 102721  102700  0.5      82 chrome-headless
 100922  100809  0.4     178 MainThread
 100935  100922  0.3     177 chrome-headless
 100955  100935  0.2     177 chrome-headless
    933     929  0.1    9309 MainThread
   7292    1021  0.1    8556 MainThread
    960     959  0.1    9308 MainThread
 103769    1077  0.0      47 python
    271       1  0.0    9315 snapd
     93       1  0.0    9319 systemd-udevd
    999     933  0.0    9308 MainThread
 104084  104081  0.0      20 chrome-headless
    959     958  0.0    9308 Relay(960)
 102566    1077  0.0      88 python
   7291    1021  0.0    8556 MainThread
   1010     933  0.0    9308 MainThread
   2505    1077  0.0    9273 codex-code-mode
     51       1  0.0    9319 systemd-journal
    121       1  0.0    9319 snapfuse
    947     946  0.0    9308 MainThread
    310       1  0.0    9315 containerd
   1049    1010  0.0    9306 MainThread
 100802    1077  0.0     183 python
   7306    1021  0.0    8556 MainThread
    285       1  0.0    9315 rsyslogd
    364       1  0.0    9314 dockerd
   6517    1021  0.0    8656 MainThread
   7314    7292  0.0    8555 MainThread
 100937  100935  0.0     177 chrome-headless
      1       0  0.0    9320 systemd
   1153    1021  0.0    9305 MainThread
    946     945  0.0    9308 Relay(947)
  63621    1077  0.0    1439 node-MainThread
  89698    1077  0.0     805 python
    265       1  0.0    9315 dbus-daemon
    257       1  0.0    9315 systemd-timesyn
  39668    1077  0.0    4326 node-MainThread
   2112    1077  0.0    9282 node-MainThread
    275       1  0.0    9315 wsl-pro-service
    272       1  0.0    9315 systemd-logind
    256       1  0.0    9315 systemd-resolve
    866       1  0.0    9312 systemd
    308       1  0.0    9315 unattended-upgr
    701     700  0.0    9313 bash
    880     702  0.0    9312 bash
      2       1  0.0    9320 init-systemd(Ub
      6       2  0.0    9320 init
    112       1  0.0    9319 snapfuse
    113       1  0.0    9319 snapfuse
    114       1  0.0    9319 snapfuse
    116       1  0.0    9319 snapfuse
    127       1  0.0    9319 snapfuse
    264       1  0.0    9315 cron
    280       1  0.0    9315 agetty
    284       1  0.0    9315 agetty
    699       2  0.0    9313 SessionLeader
    700     699  0.0    9313 Relay(701)
    702       2  0.0    9313 login
    867     866  0.0    9312 (sd-pam)
    920       2  0.0    9309 SessionLeader
    921     920  0.0    9309 Relay(922)
    922     921  0.0    9309 sh
    923     922  0.0    9309 sh
    929     923  0.0    9309 sh
    945       2  0.0    9308 SessionLeader
    958       2  0.0    9308 SessionLeader
   5140     866  0.0    8846 dbus-daemon
 100938  100935  0.0     177 chrome-headless
 102640  102573  0.0      85 sh
 102702  102700  0.0      82 chrome-headless
 102703  102700  0.0      82 chrome-headless
 104083  104081  0.0      20 chrome-headless
 104558      93  0.0       3 (udev-worker)
 104559      93  0.0       3 (udev-worker)
 104620  104614  0.0       0 ps
