    PID    PPID %CPU ELAPSED COMMAND
 125956  125924  114       2 chrome-headless
 125835  125826 85.8       5 python
 126180    1077 33.3       0 python
 125908  125835 15.9       2 MainThread
 125921  125908  9.4       2 chrome-headless
   7817     701  6.7   10427 python3
 125942  125921  5.3       2 chrome-headless
   1021     933  3.0   11232 MainThread
 125940  125923  2.8       2 chrome-headless
   1077    1021  0.7   11230 codex
   4773    1021  0.7   10852 agy
 125826    1077  0.3       5 python
   7292    1021  0.1   10480 MainThread
    933     929  0.1   11233 MainThread
    960     959  0.0   11233 MainThread
    271       1  0.0   11239 snapd
    999     933  0.0   11232 MainThread
    959     958  0.0   11233 Relay(960)
     93       1  0.0   11244 systemd-udevd
   7291    1021  0.0   10480 MainThread
   1010     933  0.0   11232 MainThread
   2505    1077  0.0   11197 codex-code-mode
     51       1  0.0   11244 systemd-journal
    947     946  0.0   11233 MainThread
    121       1  0.0   11244 snapfuse
    310       1  0.0   11239 containerd
   7306    1021  0.0   10480 MainThread
   1049    1010  0.0   11231 MainThread
    285       1  0.0   11239 rsyslogd
    364       1  0.0   11239 dockerd
   6517    1021  0.0   10580 MainThread
   7314    7292  0.0   10480 MainThread
      1       0  0.0   11245 systemd
   1153    1021  0.0   11230 MainThread
    946     945  0.0   11233 Relay(947)
  63621    1077  0.0    3363 node-MainThread
    265       1  0.0   11239 dbus-daemon
    257       1  0.0   11240 systemd-timesyn
  39668    1077  0.0    6250 node-MainThread
   2112    1077  0.0   11207 node-MainThread
    272       1  0.0   11239 systemd-logind
    275       1  0.0   11239 wsl-pro-service
    256       1  0.0   11240 systemd-resolve
    866       1  0.0   11237 systemd
    308       1  0.0   11239 unattended-upgr
    701     700  0.0   11237 bash
    880     702  0.0   11237 bash
    264       1  0.0   11239 cron
      2       1  0.0   11245 init-systemd(Ub
      6       2  0.0   11244 init
    112       1  0.0   11244 snapfuse
    113       1  0.0   11244 snapfuse
    114       1  0.0   11244 snapfuse
    116       1  0.0   11244 snapfuse
    127       1  0.0   11244 snapfuse
    280       1  0.0   11239 agetty
    284       1  0.0   11239 agetty
    699       2  0.0   11237 SessionLeader
    700     699  0.0   11237 Relay(701)
    702       2  0.0   11237 login
    867     866  0.0   11237 (sd-pam)
    920       2  0.0   11233 SessionLeader
    921     920  0.0   11233 Relay(922)
    922     921  0.0   11233 sh
    923     922  0.0   11233 sh
    929     923  0.0   11233 sh
    945       2  0.0   11233 SessionLeader
    958       2  0.0   11233 SessionLeader
   5140     866  0.0   10770 dbus-daemon
 125923  125921  0.0       2 chrome-headless
 125924  125921  0.0       2 chrome-headless
 126186  126180  0.0       0 ps
