    PID    PPID %CPU ELAPSED COMMAND
  89536    1077 15.3       0 python
  61303    1021 11.7    1067 git
   7817     701  9.0    7683 python3
   1021     933  3.0    8489 MainThread
   1077    1021  0.8    8487 codex
   4773    1021  0.5    8108 agy
    933     929  0.1    8490 MainThread
   7292    1021  0.1    7737 MainThread
    960     959  0.1    8489 MainThread
    271       1  0.0    8496 snapd
     93       1  0.0    8501 systemd-udevd
    999     933  0.0    8489 MainThread
    959     958  0.0    8489 Relay(960)
   7291    1021  0.0    7737 MainThread
   1010     933  0.0    8489 MainThread
   2505    1077  0.0    8454 codex-code-mode
    121       1  0.0    8501 snapfuse
     51       1  0.0    8501 systemd-journal
    947     946  0.0    8489 MainThread
   1049    1010  0.0    8488 MainThread
    310       1  0.0    8496 containerd
   7306    1021  0.0    7737 MainThread
    285       1  0.0    8496 rsyslogd
    364       1  0.0    8496 dockerd
   6517    1021  0.0    7837 MainThread
   7314    7292  0.0    7737 MainThread
  63621    1077  0.0     620 node-MainThread
      1       0  0.0    8502 systemd
   1153    1021  0.0    8486 MainThread
    946     945  0.0    8489 Relay(947)
    265       1  0.0    8496 dbus-daemon
  39668    1077  0.0    3507 node-MainThread
    257       1  0.0    8496 systemd-timesyn
   2112    1077  0.0    8463 node-MainThread
    272       1  0.0    8496 systemd-logind
    275       1  0.0    8496 wsl-pro-service
    256       1  0.0    8496 systemd-resolve
    866       1  0.0    8494 systemd
    308       1  0.0    8496 unattended-upgr
    701     700  0.0    8494 bash
    880     702  0.0    8494 bash
      2       1  0.0    8502 init-systemd(Ub
      6       2  0.0    8501 init
    112       1  0.0    8501 snapfuse
    113       1  0.0    8501 snapfuse
    114       1  0.0    8501 snapfuse
    116       1  0.0    8501 snapfuse
    127       1  0.0    8501 snapfuse
    264       1  0.0    8496 cron
    280       1  0.0    8496 agetty
    284       1  0.0    8496 agetty
    699       2  0.0    8494 SessionLeader
    700     699  0.0    8494 Relay(701)
    702       2  0.0    8494 login
    867     866  0.0    8494 (sd-pam)
    920       2  0.0    8490 SessionLeader
    921     920  0.0    8490 Relay(922)
    922     921  0.0    8490 sh
    923     922  0.0    8490 sh
    929     923  0.0    8490 sh
    945       2  0.0    8489 SessionLeader
    958       2  0.0    8489 SessionLeader
   5140     866  0.0    8027 dbus-daemon
  89544   89536  0.0       0 ps
