    PID    PPID %CPU ELAPSED COMMAND
  89574   89568 82.0      13 python
  89698    1077 40.0       0 python
  61303    1021 11.7    1080 git
   7817     701  9.0    7697 python3
   1021     933  3.0    8502 MainThread
   1077    1021  0.8    8500 codex
   4773    1021  0.5    8122 agy
    933     929  0.1    8503 MainThread
   7292    1021  0.1    7750 MainThread
    960     959  0.1    8502 MainThread
    271       1  0.0    8509 snapd
     93       1  0.0    8514 systemd-udevd
    999     933  0.0    8502 MainThread
    959     958  0.0    8502 Relay(960)
   7291    1021  0.0    7750 MainThread
   1010     933  0.0    8502 MainThread
   2505    1077  0.0    8467 codex-code-mode
    121       1  0.0    8514 snapfuse
     51       1  0.0    8514 systemd-journal
    947     946  0.0    8502 MainThread
   1049    1010  0.0    8501 MainThread
    310       1  0.0    8509 containerd
   7306    1021  0.0    7750 MainThread
    285       1  0.0    8509 rsyslogd
    364       1  0.0    8509 dockerd
   6517    1021  0.0    7850 MainThread
   7314    7292  0.0    7750 MainThread
  63621    1077  0.0     633 node-MainThread
      1       0  0.0    8515 systemd
   1153    1021  0.0    8500 MainThread
    946     945  0.0    8502 Relay(947)
    265       1  0.0    8509 dbus-daemon
  39668    1077  0.0    3520 node-MainThread
    257       1  0.0    8509 systemd-timesyn
   2112    1077  0.0    8476 node-MainThread
    272       1  0.0    8509 systemd-logind
    275       1  0.0    8509 wsl-pro-service
    256       1  0.0    8509 systemd-resolve
    866       1  0.0    8507 systemd
    308       1  0.0    8509 unattended-upgr
    701     700  0.0    8507 bash
    880     702  0.0    8507 bash
      2       1  0.0    8515 init-systemd(Ub
      6       2  0.0    8514 init
    112       1  0.0    8514 snapfuse
    113       1  0.0    8514 snapfuse
    114       1  0.0    8514 snapfuse
    116       1  0.0    8514 snapfuse
    127       1  0.0    8514 snapfuse
    264       1  0.0    8509 cron
    280       1  0.0    8509 agetty
    284       1  0.0    8509 agetty
    699       2  0.0    8507 SessionLeader
    700     699  0.0    8507 Relay(701)
    702       2  0.0    8507 login
    867     866  0.0    8507 (sd-pam)
    920       2  0.0    8503 SessionLeader
    921     920  0.0    8503 Relay(922)
    922     921  0.0    8503 sh
    923     922  0.0    8503 sh
    929     923  0.0    8503 sh
    945       2  0.0    8502 SessionLeader
    958       2  0.0    8502 SessionLeader
   5140     866  0.0    8040 dbus-daemon
  89545    1077  0.0      13 codex-linux-san
  89550   89545  0.0      13 bwrap
  89551   89550  0.0      13 codex
  89568   89551  0.0      13 bash
  89704   89698  0.0 4123168608 ps
