    PID    PPID %CPU ELAPSED COMMAND
 124650    1077 25.0       0 python
   7817     701  6.8   10226 python3
   1021     933  3.0   11031 MainThread
   1077    1021  0.8   11029 codex
   4773    1021  0.7   10651 agy
   7292    1021  0.1   10279 MainThread
    933     929  0.1   11032 MainThread
    960     959  0.0   11031 MainThread
    271       1  0.0   11038 snapd
    999     933  0.0   11031 MainThread
    959     958  0.0   11031 Relay(960)
     93       1  0.0   11043 systemd-udevd
   7291    1021  0.0   10279 MainThread
   1010     933  0.0   11031 MainThread
   2505    1077  0.0   10996 codex-code-mode
     51       1  0.0   11043 systemd-journal
    947     946  0.0   11032 MainThread
    121       1  0.0   11043 snapfuse
    310       1  0.0   11038 containerd
   7306    1021  0.0   10279 MainThread
   1049    1010  0.0   11030 MainThread
    285       1  0.0   11038 rsyslogd
    364       1  0.0   11038 dockerd
   6517    1021  0.0   10379 MainThread
   7314    7292  0.0   10279 MainThread
      1       0  0.0   11044 systemd
   1153    1021  0.0   11029 MainThread
    946     945  0.0   11032 Relay(947)
  63621    1077  0.0    3162 node-MainThread
    265       1  0.0   11038 dbus-daemon
    257       1  0.0   11039 systemd-timesyn
  39668    1077  0.0    6049 node-MainThread
   2112    1077  0.0   11005 node-MainThread
    272       1  0.0   11038 systemd-logind
    275       1  0.0   11038 wsl-pro-service
    256       1  0.0   11039 systemd-resolve
    866       1  0.0   11036 systemd
    308       1  0.0   11038 unattended-upgr
    701     700  0.0   11036 bash
    880     702  0.0   11036 bash
    264       1  0.0   11038 cron
      2       1  0.0   11044 init-systemd(Ub
      6       2  0.0   11043 init
    112       1  0.0   11043 snapfuse
    113       1  0.0   11043 snapfuse
    114       1  0.0   11043 snapfuse
    116       1  0.0   11043 snapfuse
    127       1  0.0   11043 snapfuse
    280       1  0.0   11038 agetty
    284       1  0.0   11038 agetty
    699       2  0.0   11036 SessionLeader
    700     699  0.0   11036 Relay(701)
    702       2  0.0   11036 login
    867     866  0.0   11036 (sd-pam)
    920       2  0.0   11032 SessionLeader
    921     920  0.0   11032 Relay(922)
    922     921  0.0   11032 sh
    923     922  0.0   11032 sh
    929     923  0.0   11032 sh
    945       2  0.0   11032 SessionLeader
    958       2  0.0   11031 SessionLeader
   5140     866  0.0   10569 dbus-daemon
 124656  124650  0.0       0 ps
