reference_name	position	depth
AP027133.1	1	21.901000
AP027133.1	1001	18.177000
AP027133.1	2001	19.503000
AP027133.1	3001	20.668000
AP027133.1	4001	21.480000
AP027133.1	5001	16.921000
AP027133.1	6001	18.584000
AP027133.1	7001	22.430000
AP027133.1	8001	19.501000
AP027133.1	9001	23.023000
AP027133.1	10001	25.343000
AP027133.1	11001	19.573000
AP027133.1	12001	26.175000
AP027133.1	13001	22.255000
AP027133.1	14001	18.857000
AP027133.1	15001	26.057000
AP027133.1	16001	21.361000
AP027133.1	17001	21.374000
AP027133.1	18001	26.826000
AP027133.1	19001	17.603000
AP027133.1	20001	26.193000
AP027133.1	21001	25.033000
AP027133.1	22001	21.762000
AP027133.1	23001	21.920000
AP027133.1	24001	18.319000
AP027133.1	25001	21.320000
AP027133.1	26001	24.047000
AP027133.1	27001	22.557000
AP027133.1	28001	18.450000
AP027133.1	29001	19.204000
AP027133.1	30001	22.990000
AP027133.1	31001	25.427000
AP027133.1	32001	20.659000
AP027133.1	33001	25.431000
AP027133.1	34001	23.763000
AP027133.1	35001	20.188000
AP027133.1	36001	22.719000
AP027133.1	37001	21.564000
AP027133.1	38001	23.237000
AP027133.1	39001	16.895000
AP027133.1	40001	22.511000
AP027133.1	41001	21.204000
AP027133.1	42001	21.027000
AP027133.1	43001	15.850000
AP027133.1	44001	23.243000
AP027133.1	45001	22.183000
AP027133.1	46001	22.293000
AP027133.1	47001	19.782000
AP027133.1	48001	20.675000
AP027133.1	49001	22.998000
AP027133.1	50001	18.868000
AP027133.1	51001	19.698000
AP027133.1	52001	22.305000
AP027133.1	53001	17.606000
AP027133.1	54001	24.723000
AP027133.1	55001	18.392000
AP027133.1	56001	21.627000
AP027133.1	57001	16.712000
AP027133.1	58001	17.358000
AP027133.1	59001	19.625000
AP027133.1	60001	25.431000
AP027133.1	61001	25.081000
AP027133.1	62001	20.914000
AP027133.1	63001	21.138000
AP027133.1	64001	25.612000
AP027133.1	65001	29.248000
AP027133.1	66001	22.425000
AP027133.1	67001	22.576000
AP027133.1	68001	25.990000
AP027133.1	69001	22.645000
AP027133.1	70001	19.752000
AP027133.1	71001	24.836000
AP027133.1	72001	26.622000
AP027133.1	73001	22.313000
AP027133.1	74001	20.176000
AP027133.1	75001	18.561000
AP027133.1	76001	20.812000
AP027133.1	77001	24.506000
AP027133.1	78001	22.485000
AP027133.1	79001	18.673000
AP027133.1	80001	17.043000
AP027133.1	81001	19.439000
AP027133.1	82001	18.489000
AP027133.1	83001	14.421000
AP027133.1	84001	21.469000
AP027133.1	85001	21.888000
AP027133.1	86001	25.310000
AP027133.1	87001	17.628000
AP027133.1	88001	25.302000
AP027133.1	89001	22.251000
AP027133.1	90001	21.296000
AP027133.1	91001	22.449000
AP027133.1	92001	19.839000
AP027133.1	93001	17.780000
AP027133.1	94001	21.677000
AP027133.1	95001	21.247000
AP027133.1	96001	17.754000
AP027133.1	97001	19.687000
AP027133.1	98001	19.245000
AP027133.1	99001	19.439000
AP027133.1	100001	21.957000
AP027133.1	101001	20.123000
AP027133.1	102001	19.150000
AP027133.1	103001	15.136000
AP027133.1	104001	17.050000
AP027133.1	105001	21.329000
AP027133.1	106001	22.257000
AP027133.1	107001	22.385000
AP027133.1	108001	23.715000
AP027133.1	109001	18.912000
AP027133.1	110001	16.297000
AP027133.1	111001	20.454000
AP027133.1	112001	16.751000
AP027133.1	113001	16.744000
AP027133.1	114001	16.645000
AP027133.1	115001	21.499000
AP027133.1	116001	22.791000
AP027133.1	117001	25.976000
AP027133.1	118001	17.014000
AP027133.1	119001	20.889000
AP027133.1	120001	21.490000
AP027133.1	121001	20.984000
AP027133.1	122001	21.336000
AP027133.1	123001	17.269000
AP027133.1	124001	23.408000
AP027133.1	125001	17.821000
AP027133.1	126001	16.443000
AP027133.1	127001	16.225000
AP027133.1	128001	18.415000
AP027133.1	129001	17.465000
AP027133.1	130001	21.577000
AP027133.1	131001	16.846000
AP027133.1	132001	23.539000
AP027133.1	133001	18.389000
AP027133.1	134001	14.506000
AP027133.1	135001	21.407000
AP027133.1	136001	21.417000
AP027133.1	137001	19.345000
AP027133.1	138001	21.879000
